mol_id,smiles,morpholine,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC39095861,C1[NH2+][C@@H]2[C@H]1[C@H]1NNC[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC19357315,C=CCn1cnnc1SCc1cc(=O)n2cc(Cl)ccc2n1,0,0,True,False,False,False,False,False,True
ZINC40219046,[NH3+]CCNCC(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC39049749,CC(C)(C)C#Cn1cncn1,0,0,True,False,False,False,False,False,True
ZINC04268284,C/C1=C/C=C/C(=O)C#CC#CC(=O)/C=C/C=C(/C)C#CC#C1,0,0,True,False,False,False,False,False,True
ZINC95890268,[NH2+]=C(O)SCCl,0,0,True,False,False,False,False,False,True
ZINC06185608,C(C#CC[NH+]1CCCCC1)#CC[NH+]1CCCCC1,0,0,True,False,False,False,False,False,True
ZINC03843900,C#C[C@@]1(O)C[C@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]2(C)C1,0,0,True,False,False,False,False,False,True
ZINC06487362,C[C@@H]([C@@H](C)Cl)[NH+](C)C,0,0,True,False,False,False,False,False,True
ZINC95748684,NCCC1=NC2=CC(F)=CCC2=N1,0,0,True,False,False,False,False,False,True
ZINC06562334,O=C1CSC(NC2=NNC(=O)SC2)=NN1,0,0,True,False,False,False,False,False,True
ZINC02142914,NC(=O)c1sc(-c2ccsc2)cc1NC(=O)/C=C/c1ccsc1,0,0,True,False,False,False,False,False,True
ZINC69538553,O[C@H](COCc1ccco1)CN1CCc2c([nH+]cn2C2CC2)C1,0,0,True,False,False,False,False,False,True
ZINC70643635,C[C@@H]1CC[C@H]([NH2+][C@@H]2CCN(C)C2)C1,0,0,True,False,False,False,False,False,True
ZINC13509860,O=[N+]([O-])/N=C1/[N-][C@H]2Nc3nnnn3N[C@H]2N1,0,0,True,False,False,False,False,False,True
ZINC73966566,Cc1nnc([C@H](C)Sc2ncnc3[n-]cnc23)o1,0,0,True,False,False,False,False,False,True
ZINC95427577,CCc1[nH]nc(NCc2nc(C)ccc2O)c1C,0,0,True,False,False,False,False,False,True
ZINC01532860,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,0,0,True,False,False,False,False,False,True
ZINC19868559,CN(C)c1ccc(N)[nH+]c1,0,0,True,False,False,False,False,False,True
ZINC06185582,O[C@H]1CCCC[C@@H]1NC(=S)NC1CCCCC1,0,0,True,False,False,False,False,False,True
ZINC04090330,C/C(=N\O)c1cc(-c2ncc(C(F)(F)F)cc2Cl)no1,0,0,True,False,False,False,False,False,True
ZINC00480716,N#CC1(C#N)OC(C#N)(C#N)[C@@H]2SC=C[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC82046508,C1C[NH2+]C[C@]2(C1)CCCO2,0,0,True,False,False,False,False,False,True
ZINC35199991,O=P([O-])([O-])O[C@@H]1[C@H](O)[C@H](F)[C@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC05909093,CC[C@@H](C#CC[NH+](CC)CC)OCCC#N,0,0,True,False,False,False,False,False,True
ZINC96346953,NNC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,0,True,False,False,False,False,False,True
ZINC39248185,NC1=C(Br)[C@H](C(F)(F)F)N=N1,0,0,True,False,False,False,False,False,True
ZINC39095561,C1=NO[C@@H]2C=NN3C[C@@H]3[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC02507981,C1#CCCCCC#CCCCC1,0,0,True,False,False,False,False,False,True
ZINC93413743,CCCn1nc(C)c(CN(CC)[C@@H](C)CS(=O)(=O)CC)c1C,0,0,True,False,False,False,False,False,True
ZINC33791186,N[C@@H]1NC=CC=[NH+]1,0,0,True,False,False,False,False,False,True
ZINC96334490,CC[P@@](=S)(OC)SCSCS[P@](O)(=S)CC,0,0,True,False,False,False,False,False,True
ZINC92257800,COc1ccsc1S(=O)(=O)N[C@@H]1CC[C@@H]([NH+](C)C)C1,0,0,True,False,False,False,False,False,True
ZINC43741804,CC1=C[C@@H](C)[C@@H]2CO[C@H](C3=CCC[N+](C)(C)C3)[C@H]1[C@H]2C,0,0,True,False,False,False,False,False,True
ZINC02547394,N/C(CCn1cccc1)=N\O,0,0,True,False,False,False,False,False,True
ZINC05282253,C#C[C@@H](C1=C([O-])CCCC1=O)C1=C(O)CCCC1=O,0,0,True,False,False,False,False,False,True
ZINC45919709,C=CC[NH+](CC=C)C[C@H]([O-])C[NH3+],0,0,True,False,False,False,False,False,True
ZINC12358867,C[C@]1(O)[C@](C)(O)[C@](C)(n2cc(Br)c(=O)[nH]c2=O)O[C@]1(C)CO,0,0,True,False,False,False,False,False,True
ZINC39112390,OCCCCCC[C@@H]1C[C@H]2C=C[C@@H]1C2,0,0,True,False,False,False,False,False,True
ZINC02579544,C=C(Br)CCCCC(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC85473466,NOC/C=C\Cl,0,0,True,False,False,False,False,False,True
ZINC39050017,[O-][n+]1cc(O)ccc1Cl,0,0,True,False,False,False,False,False,True
ZINC14611643,CC#CC#C/C=C1\C=C[C@@]2(CC=CO2)O1,0,0,True,False,False,False,False,False,True
ZINC72435549,Nc1nc(N2CCS(=O)(=O)CC2)c2c([nH+]1)CC[NH2+]CC2,0,0,True,False,False,False,False,False,True
ZINC16958936,CC1(C)OC[C@@H]([C@H](O)[C@@H]2OC(C)(C)O[C@H]2C=O)O1,0,0,True,False,False,False,False,False,True
ZINC05945280,N#CC1=C(N)OC2=C(C(=O)OC2)[C@H]1c1ccc([N+](=O)[O-])o1,0,0,True,False,False,False,False,False,True
ZINC12971189,c1c[nH]c(Cc2[nH]cc(Cc3c[nH]cn3)[nH+]2)n1,0,0,True,False,False,False,False,False,True
ZINC95761003,C#CC1=C[C@@H]2C=CN=C2C=C1,0,0,True,False,False,False,False,False,True
ZINC96125858,O=C(C#CC(F)(F)F)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC12402966,C[C@@H]1O[C@@H](C(Cl)(Cl)Cl)O[C@@H]1C,0,0,True,False,False,False,False,False,True
ZINC39287532,O=C1C(C[NH2+]CCCn2ccnc2)=CC2=CC=C[C@H]3CCN1[C@H]23,0,0,True,False,False,False,False,False,True
ZINC72339166,FC(F)c1n[nH]c(C2CC2)c1I,0,0,True,False,False,False,False,False,True
ZINC01691446,C[N+](C)(N)CCC[N+](C)(C)N,0,0,True,False,False,False,False,False,True
ZINC26515884,CCOCc1nnc([S-])n1N,0,0,True,False,False,False,False,False,True
ZINC39049311,O=C=C=C1C(F)=C1C#CF,0,0,True,False,False,False,False,False,True
ZINC39049383,C#C[C@H]1C[C@H]1OC(C)(C)C,0,0,True,False,False,False,False,False,True
ZINC38206109,Cc1nnc(=S)n(/N=C\c2ccncc2)c1[O-],0,0,True,False,False,False,False,False,True
ZINC17108050,C/C([NH2+]N)=C1/N=NC(C)(C)NN1,0,0,True,False,False,False,False,False,True
ZINC49952257,CNC(/C=[N+](\[O-])O)=[NH+]\N,0,0,True,False,False,False,False,False,True
ZINC31846542,CNc1nnc(SCc2nnc(C(C)(C)C)o2)s1,0,0,True,False,False,False,False,False,True
ZINC77483612,CCCc1nc(C[N@@H+]2CCCC2(C)C)cs1,0,0,True,False,False,False,False,False,True
ZINC89952358,C#CCN1CCN(C(=O)CN(C[C@@H]2CCCO2)[C@@H]2CCSC2)CC1,0,0,True,False,False,False,False,False,True
ZINC96219359,C1CC(N2CC[C@]3(C2)C[N@@H+](CC2CC2)C[C@H]3COCC2CC2)C1,0,0,True,False,False,False,False,False,True
ZINC01693058,OCC(CO)(CO)COCC(CO)(CO)CO,0,0,True,False,False,False,False,False,True
ZINC63974787,COCCC[C@H]1N=C(c2cc(C)n(-c3nc[nH]n3)c2C)CS1,0,0,True,False,False,False,False,False,True
ZINC05297371,Cc1[nH+]c(C)c(Cl)c(OCC#CI)c1Cl,0,0,True,False,False,False,False,False,True
ZINC95918511,[O-][C@@]1(C(F)(F)F)C[C@](O)(C(F)(F)F)NC([S-])=[NH+]1,0,0,True,False,False,False,False,False,True
ZINC03167790,C[n+]1ccccc1[C@@H](F)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC12343394,NC(=O)[C@@H]1C[C@@H](O)C[C@H](C(N)=O)N1,0,0,True,False,False,False,False,False,True
ZINC39095831,C1N[C@@H]2CC3(CC3)[C@H]1O2,0,0,True,False,False,False,False,False,True
ZINC98180522,Brc1cnc2cnc(I)cn12,0,0,True,False,False,False,False,False,True
ZINC95929967,N[C@@H](c1cnccn1)c1nc(Cl)cnc1Cl,0,0,True,False,False,False,False,False,True
ZINC96006942,CCC(CC)[C@@H]1C[C@H](N[C@H]2CC[N@H+](C(C)C)CC2)CCO1,0,0,True,False,False,False,False,False,True
ZINC71785682,C1C[C@H]2C[C@@H]([C@H]3C[C@H]4CC[C@H]5CC[C@H]3[C@H]54)[C@H]3CC[C@H]1[C@@H]23,0,0,True,False,False,False,False,False,True
ZINC10387083,C=C(C)Cn1c(=O)c2c([nH+]c3n2CC(C)=NN3C/C=C/C)n(C)c1=O,0,0,True,False,False,False,False,False,True
ZINC39078225,C1=CN2COCC2=CN=C1,0,0,True,False,False,False,False,False,True
ZINC73666997,CC(C)Nc1nc(NN)nc(NC(C)C)[nH+]1,0,0,True,False,False,False,False,False,True
ZINC95729353,C[NH2+][C@@H]1CC(OC2CC2)=CC(OC(C)C)=N1,0,0,True,False,False,False,False,False,True
ZINC96527884,N[C@]12C[C@](CCl)(COC1=O)C2,0,0,True,False,False,False,False,False,True
ZINC13507674,NC/C(O)=N/[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC12175071,C=CCOS(=O)(=O)[C@@H]1CCS(=O)(=O)C1,0,0,True,False,False,False,False,False,True
ZINC04655092,CC(=O)OCOC(=O)C1=C(COC(N)=O)S[C@@H]2[C@H]([C@@H](C)O)C(=O)N12,0,0,True,False,False,False,False,False,True
ZINC00386976,Cc1cc2scc(C)[n+]2cc1C,0,0,True,False,False,False,False,False,True
ZINC06884159,CC(C)SC#CC(F)F,0,0,True,False,False,False,False,False,True
ZINC77941568,O=C(CCn1cc([N+](=O)[O-])cn1)OCCc1c[nH]nc1C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC04743746,CCN(CCN(C)N=O)N=O,0,0,True,False,False,False,False,False,True
ZINC05382457,N#CC#CC1=CCCCC1,0,0,True,False,False,False,False,False,True
ZINC97437787,CO/C(F)=C(/F)Cl,0,0,True,False,False,False,False,False,True
ZINC34075577,O/N=C1\CC[N@@H+]2CCC[C@H]1C2,0,0,True,False,False,False,False,False,True
ZINC65461677,Cc1cccn2c(CNC(=O)c3ccc(C#CC(C)(C)O)o3)c[nH+]c12,0,0,True,False,False,False,False,False,True
ZINC90598187,[NH3+][C@@H]1C[C@@]23C=CC=C[C@@]12C=C3,0,0,True,False,False,False,False,False,True
ZINC35024483,C=C1O[C@@H](On2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC95068302,C[C@@H](c1ccc[nH]1)N1CC[NH2+]C[C@H]1C,0,0,True,False,False,False,False,False,True
ZINC91252393,FC(F)(F)C(F)(F)OC[C@H]1CCCC[NH2+]1,0,0,True,False,False,False,False,False,True
ZINC31165197,C=CCC/C=C/C#CCCCCCCCC[C@H]1C(=O)O[C@H](C)[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC63577454,OCC#CCSC1=NC=NC2=NC=N[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC48480318,Cc1oc(C)c(/C([O-])=N/S(C)(=O)=O)c1C,0,0,True,False,False,False,False,False,True
ZINC63908906,CCN(CC1=NC(=O)[C@H]2SC=CC2=N1)C[C@@H]1CC=C(Cl)S1,0,0,True,False,False,False,False,False,True
ZINC19320485,CC1=[N+]([O-])[C@@]2(N)CCc3c(no[n+]3[O-])[C@@]2(O)C1,0,0,True,False,False,False,False,False,True
ZINC65492498,CN(C[C@H]1N=NC2=C1CCCC2)c1cc(NC2CC2)nc(N)n1,0,0,True,False,False,False,False,False,True
ZINC39089172,NC(=[NH2+])OC1=CC=CCN1O,0,0,True,False,False,False,False,False,True
ZINC02390110,S=C=NCCCl,0,0,True,False,False,False,False,False,True
ZINC06553948,Cn1nc(N)c(N/N=C2/N=C[NH+]=C2C(=N)[O-])c1N,0,0,True,False,False,False,False,False,True
ZINC39038312,OC[C@@H]1C[C@]12C[C@]21CC1(F)F,0,0,True,False,False,False,False,False,True
ZINC45069840,O=C1N[C@@H]2[C@@H]3C=C[C@@H]4[C@@H]([C@@H]4C=C3)[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC76494867,CN(C(=O)[C@@]1(C)CC1(Cl)Cl)[C@H]1CCCC[C@@H]1S(C)(=O)=O,0,0,True,False,False,False,False,False,True
ZINC72149767,C[NH+](C)C[C@@]1(O)CCN(C(=O)c2[nH]nc3c2C[N@H+](C)CC3)C1,0,0,True,False,False,False,False,False,True
ZINC95528802,CSCCc1nc(CCC(F)(F)F)n(C(C)(C)C)n1,0,0,True,False,False,False,False,False,True
ZINC01391823,CO/N=C(/C)c1ccc(/C(C#N)=C/N(C)C)s1,0,0,True,False,False,False,False,False,True
ZINC97227583,CCN/C(NC[C@H]1CCCS1)=[NH+]\CC,0,0,True,False,False,False,False,False,True
ZINC39100720,CCSC1=[NH+]/C(=N/O)[C@@](C)(CC)N1,0,0,True,False,False,False,False,False,True
ZINC89213120,[NH2+]=C(NO)c1ncc(F)c2cc[nH]c12,0,0,True,False,False,False,False,False,True
ZINC39078440,C=Cc1c[nH+]cn1COC,0,0,True,False,False,False,False,False,True
ZINC00495566,CC1(C)Cc2c(c(N3CCCCC3)[nH]c(=S)c2C#N)CO1,0,0,True,False,False,False,False,False,True
ZINC95774935,CC(C)(C)OC(=O)NC1=C[C@@H]2N=CC(CN)=C2C=C1,0,0,True,False,False,False,False,False,True
ZINC96448862,CC1(C)[C@H]2CC[C@]1(C)[C@H](OC(CC#[N+]S)CC#[N+]S)C2,0,0,True,False,False,False,False,False,True
ZINC45236662,N[C@@H]1OC2=CC3=C(CC=CC3)C[C@H]2O1,0,0,True,False,False,False,False,False,True
ZINC96216389,Clc1cncc(OC[C@H]2CO[C@@H]3CN(Cc4ccoc4)C[C@@H]32)c1,0,0,True,False,False,False,False,False,True
ZINC49825137,CCC[N@@H+](CCO)CC(=O)NC(N)=O,0,0,True,False,False,False,False,False,True
ZINC91550969,Nc1nnc(CCn2cc(-c3ccc(CO)o3)nn2)s1,0,0,True,False,False,False,False,False,True
ZINC95707498,O=C([O-])C1=NN=C2C=NCC=C21,0,0,True,False,False,False,False,False,True
ZINC95921497,N[C@H]1CSC=C2C=CC(Br)=C[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC96078547,OCC[N@@H+]1CCOC[C@@]2(C[C@H](Cn3cc[nH+]c3)CO2)C1,0,0,True,False,False,False,False,False,True
ZINC97377456,Cc1noc(C[NH2+][C@@H](CCO)C(C)C)n1,0,0,True,False,False,False,False,False,True
ZINC65258696,O=C1NCCCn2cc(S(=O)(=O)N3CCCC3)cc21,0,0,True,False,False,False,False,False,True
ZINC02538167,Cc1c(-c2cc(C(F)F)nc(S)n2)cnn1C,0,0,True,False,False,False,False,False,True
ZINC04656296,C#CCO[C@@H]1C=C[C@H](OCOC)[C@@H](CO)O1,0,0,True,False,False,False,False,False,True
ZINC89223043,CSc1nc(Cl)c2c(=O)[nH][nH]c2n1,0,0,True,False,False,False,False,False,True
ZINC02576665,O=C(CCl)NNC(=O)Cn1nnc(N2CCCC2)n1,0,0,True,False,False,False,False,False,True
ZINC67317218,NC(N)=N/N=C/c1ccc(/C=N/[NH+]=C(N)N)[nH]1,0,0,True,False,False,False,False,False,True
ZINC92012978,CSC1(CNS(=O)(=O)N2CCC(C(C)(C)C)CC2)CCOCC1,0,0,True,False,False,False,False,False,True
ZINC95883671,FC(F)CNC[C@H]1CCC=CO1,0,0,True,False,False,False,False,False,True
ZINC71780221,Nc1scc[n+]1CCCF,0,0,True,False,False,False,False,False,True
ZINC11548523,C#CCSC1=N/C(=C\N(C)C)C([O-])=N1,0,0,True,False,False,False,False,False,True
ZINC57758444,CCCCNC(=S)NC[C@@H](C)NC(=S)NCCCC,0,0,True,False,False,False,False,False,True
ZINC95535178,CC[C@H](N)C[C@@H]([NH3+])CC,0,0,True,False,False,False,False,False,True
ZINC65381853,O=C([C@H]1C=c2sccc2=N1)N1CCC[C@@H]([C@@H]2NN=C3C=CC=CN32)C1,0,0,True,False,False,False,False,False,True
ZINC89960406,CCCSCC(=O)O[C@H]1CC[C@@H](C#N)C1,0,0,True,False,False,False,False,False,True
ZINC39095336,CC[C@H]1NC(N)=[NH+][C@H](CC)N1,0,0,True,False,False,False,False,False,True
ZINC28470054,[NH3+][C@H]1C=C[C@@H](O)[C@@H](O)[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC13739333,N#C[C@@H]1C(S)=NC(c2cccnc2)=C(C(N)=S)[C@@H]1c1ccncc1,0,0,True,False,False,False,False,False,True
ZINC90096859,N#Cc1ccc(-c2noc([C@@H]3C[C@H]4CC[C@@H]3C4)n2)nc1,0,0,True,False,False,False,False,False,True
ZINC21299737,COC1=CCC(C(C)(C)O)=CC1,0,0,True,False,False,False,False,False,True
ZINC76492843,C[N@H+](CCS(C)(=O)=O)C[C@H](O)COC(C)(C)C,0,0,True,False,False,False,False,False,True
ZINC05112678,O[C@H]([C@H](O)C(F)(F)F)[C@@H](O)[C@@H](O)C=S,0,0,True,False,False,False,False,False,True
ZINC59103317,N=C1C(=O)C(=O)[C@H]1NO,0,0,True,False,False,False,False,False,True
ZINC00643072,Nc1c(C2=[NH+]CCN2)sc2nc(-c3cccs3)cc(C(F)(F)F)c12,0,0,True,False,False,False,False,False,True
ZINC72418131,C=CCC[C@H](C[N@H+]1CCCOCC1)Oc1ncc(C)c(N(C)C)n1,0,0,True,False,False,False,False,False,True
ZINC13816068,[NH2+]=C(NCCCc1c[nH]c[nH+]1)NCCNc1cccc[nH+]1,0,0,True,False,False,False,False,False,True
ZINC47870009,CC(C)CC[NH+]1CCN(Cc2nnsc2Cl)CC1,0,0,True,False,False,False,False,False,True
ZINC90615707,CC(C)(C)C(=O)N[C@@]1(O)C=CC=[NH+]C1,0,0,True,False,False,False,False,False,True
ZINC29392140,CN(CC#CCN1CCCC1=O)CCBr,0,0,True,False,False,False,False,False,True
ZINC56907289,Cc1cc(-c2nnc(NC(=O)C3=COCCO3)o2)c(C)o1,0,0,True,False,False,False,False,False,True
ZINC40687585,Nc1c(Nc2cc[nH+]cc2)nc[nH+]c1Nc1ccc(Cl)cn1,0,0,True,False,False,False,False,False,True
ZINC02033583,N[P@@](=O)(OCCCO)N(CCCl)CCCl,0,0,True,False,False,False,False,False,True
ZINC04694201,NC(=S)N/N=C1/C[C@H](NNC(N)=S)[C@H]2CO[C@@H]1O2,0,0,True,False,False,False,False,False,True
ZINC95923629,CCNc1ssc(=S)[n+]1CC,0,0,True,False,False,False,False,False,True
ZINC95707494,[NH2+]=C1N=CC2=CC[N-]C2=N1,0,0,True,False,False,False,False,False,True
ZINC01244402,Nc1nc(N)[n+]([O-])c(N)c1N,0,0,True,False,False,False,False,False,True
ZINC72454823,Cc1nonc1OCCn1cc[nH+]c1-c1cc2n(n1)CCC[NH2+]C2,0,0,True,False,False,False,False,False,True
ZINC75826766,O=C1C[C@H](/C([O-])=N/c2ncn[nH]2)CN1Cc1ccccn1,0,0,True,False,False,False,False,False,True
ZINC96346869,CC(/C=N/N(CCC[NH3+])C(=N)N)=N\N(CCC[NH3+])C(N)=[NH2+],0,0,True,False,False,False,False,False,True
ZINC41166809,[NH3+]CC[C@@H](O)C1CC1,0,0,True,False,False,False,False,False,True
ZINC86008351,C[C@@H]1C[NH+](CCN)C[C@H]1C,0,0,True,False,False,False,False,False,True
ZINC95923805,C[C@@H]1OC(=N)CC1=S,0,0,True,False,False,False,False,False,True
ZINC19325405,C[C@]12CN3C[C@](C)(CN(C1)C31[C@@H]3C[C@H]4C[C@H](C[C@@H]1C4)C3)C2=O,0,0,True,False,False,False,False,False,True
ZINC57342898,[NH3+][C@H]1CCN(c2nc([O-])cc(C(F)(F)F)n2)C1,0,0,True,False,False,False,False,False,True
ZINC42154619,O=c1oc(-c2ccco2)nn1Cc1csc(Br)c1,0,0,True,False,False,False,False,False,True
ZINC72249553,C=CCN(CC=C)C(=O)[C@@H](C)NC(=O)[C@H]1CO[C@@H]2C=CC=C[C@@H]2O1,0,0,True,False,False,False,False,False,True
ZINC72149709,Clc1ccc(-c2cccc3ccnn23)nn1,0,0,True,False,False,False,False,False,True
ZINC95524771,CCCOCCc1[nH]c2c([nH+]1)C(=O)NCC(C)(C)C2,0,0,True,False,False,False,False,False,True
ZINC71282336,CC(C)n1ncc2c1N=C(O)C[C@H]2c1ccc(Br)s1,0,0,True,False,False,False,False,False,True
ZINC12505923,CCO/C=C/[C@@](O)(CN)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC38783406,CSC1=N[C@H](N/C(C)=C(/CCO)C(=O)N2NC(SC)=N[C@H]2N)N=N1,0,0,True,False,False,False,False,False,True
ZINC12397664,C[NH2+]CCCc1cn[nH]c1,0,0,True,False,False,False,False,False,True
ZINC04362143,C[C@@H]1C[N+](C)(C)[C@H](C)C[C@@]1(O)C#CC(C)(C)O,0,0,True,False,False,False,False,False,True
ZINC20534504,[NH2+]=c1ccn(C[C@@H](P(=O)([O-])[O-])[P@@](=O)([O-])O)cc1,0,0,True,False,False,False,False,False,True
ZINC33413787,Nc1nc(SCCOCCSc2n[nH]c(N)n2)n[nH]1,0,0,True,False,False,False,False,False,True
ZINC95611846,CC1=C(/C=C/[C@](C)(O)CC#C[C@]2(C)C=COCCO2)C(C)(C)CCC1,0,0,True,False,False,False,False,False,True
ZINC49491519,Cn1cc(C[N@H+](C)Cc2nnc([C@@H]3CCCO3)o2)cn1,0,0,True,False,False,False,False,False,True
ZINC65493174,C/C=C(\C)C[N@@H+](C)CCCC1=C(C)N=N[C@@H]1C,0,0,True,False,False,False,False,False,True
ZINC71772721,CS[C@@H]1O[C@H]([C@H](N)[C@H](C)O)[C@H](O)[C@H](O)[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC97757742,N#CC1(S(N)(=O)=O)CC1,0,0,True,False,False,False,False,False,True
ZINC20978460,Cc1cc(-c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)s2)on1,0,0,True,False,False,False,False,False,True
ZINC92473600,CC(C)OCCOC[C@H](O)CN(C)Cc1cnc2ccsc2c1,0,0,True,False,False,False,False,False,True
ZINC71875754,NS(=O)(=O)CCC[N@@H+]1CCC[C@H]1Cn1cccn1,0,0,True,False,False,False,False,False,True
ZINC96329077,O=C1OCCN2CCOC(=O)[C@H](OCC2)[C@H]1O,0,0,True,False,False,False,False,False,True
ZINC88465961,C=C[C@H]1C[N@@H+]2CC[C@H]1C[C@H]2[C@H](O)[C@H]1CC=N[C@@H]2C=CC(OC)=C[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC59381819,CCSC[C@@H](C)SCC,0,0,True,False,False,False,False,False,True
ZINC39113604,O=CN1CCN(CCO)CC1,0,0,True,False,False,False,False,False,True
ZINC01702324,C[C@@H]1CCC[C@H](C[N+](C)(C)C)C1=O,0,0,True,False,False,False,False,False,True
ZINC17004531,OC[C@]12CC=CC[C@@H]1[C@@H]1CC=CC[C@H]1O2,0,0,True,False,False,False,False,False,True
ZINC91692322,C[NH2+]CC#CCCO,0,0,True,False,False,False,False,False,True
ZINC04625919,Cc1[nH+]c(SC/C([O-])=N/c2nnc(CC(C)C)s2)[nH]c1CC(C)C,0,0,True,False,False,False,False,False,True
ZINC05501715,CCCCCc1c(C)[nH]n(/C(N)=N/CCSCc2nc[nH]c2C)c1=O,0,0,True,False,False,False,False,False,True
ZINC38577880,[O-]C1=NC(=S)N=C2S[C@@H]3CC4(CCCCC4)CCC3=C12,0,0,True,False,False,False,False,False,True
ZINC14680533,CC#Cc1ccc(-c2ccc([C@@H](O)CCl)s2)s1,0,0,True,False,False,False,False,False,True
ZINC39223739,COC1=CC2=NC(C)=C(C)[C@H]2c2c(C)cc(C)nc21,0,0,True,False,False,False,False,False,True
ZINC75906061,C=C1C[C@]23C[C@H]1CC[C@@H]2[C@]12CC[C@H](O)[C@](C)(C(=O)O1)[C@@H]2[C@@H]3C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC85237487,COC(C)(C)c1noc(/C=C/c2cn(C)c(=O)n(C)c2=O)n1,0,0,True,False,False,False,False,False,True
ZINC18354955,NC1=[NH+]CCS1,0,0,True,False,False,False,False,False,True
ZINC31166301,CC(=C\C(=O)[O-])/C=C(\C)C[C@H](C)CCCCC[C@H](O)[C@@H](CO)C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC72334826,C#CCn1ncc2c3sc(C)cc3n(CC)c2c1=O,0,0,True,False,False,False,False,False,True
ZINC40451434,O=C(Cl)c1cc2c(s1)CCCCCCCCCC2,0,0,True,False,False,False,False,False,True
ZINC63882673,CCC[C@H](C)[C@@H]1N=C2C=NN([C@@H](C)C(C)C)[C@@H]2N1,0,0,True,False,False,False,False,False,True
ZINC24191144,c1ncc2c(n1)NOCC2,0,0,True,False,False,False,False,False,True
ZINC33376869,CCCC[N+]1=CCN(C)[C@@H]1C,0,0,True,False,False,False,False,False,True
