mol_id,smiles,ester,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC38236956,C[C@@]1(O)[C@H]2O[C@@]3(O)O[C@@H]1[C@@H]1[C@@H](O)NC(=[NH2+])N[C@]1([C@@H]2O)[C@@H]3O,0,0,True,False,False,False,False,False,True
ZINC04683822,O=COC[C@H]1C[C@]2(Cl)C[C@@]1(Cl)C(Cl)=C2Cl,0,0,True,False,False,False,False,False,True
ZINC04317659,OCC[N-]C1=NC=NC2=NN=C[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC49547751,FC(F)(F)c1nnc2sc(-c3csnn3)nn12,0,0,True,False,False,False,False,False,True
ZINC78061548,C[N+](C)(C)CCOCl,0,0,True,False,False,False,False,False,True
ZINC03978767,OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,0,0,True,False,False,False,False,False,True
ZINC40148370,[S-][C@H]1N=N[C@@H]([C@H]2C=CC=[NH+]2)O1,0,0,True,False,False,False,False,False,True
ZINC45236151,C1=[NH+]C=C2C[C@H]1C[C@H]1Cc3scnc3C=C21,0,0,True,False,False,False,False,False,True
ZINC02562291,COC1=CCC2=C(C1)CC(OC)=CC2,0,0,True,False,False,False,False,False,True
ZINC39094829,C1[C@H]2[C@H]3N[C@H]4[C@H]3[NH2+][C@H]2[C@H]14,0,0,True,False,False,False,False,False,True
ZINC97957225,CCCCCCCCSc1nc(=O)c(C)n[nH]1,0,0,True,False,False,False,False,False,True
ZINC36390457,c1c[n+]2cn1CCCC[n+]1ccn(c1)CCCC2,0,0,True,False,False,False,False,False,True
ZINC01674065,O=C(CCC[n+]1ccccc1)CC(O)(C(F)(F)F)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC36096564,C#CCOC[C@H](O)CN(CCOC)Cc1cccs1,0,0,True,False,False,False,False,False,True
ZINC01563968,N[N+]1(CCS(N)(=O)=O)CCOCC1,0,0,True,False,False,False,False,False,True
ZINC90598187,[NH3+][C@@H]1C[C@@]23C=CC=C[C@@]12C=C3,0,0,True,False,False,False,False,False,True
ZINC31372784,[N-]=[N+]=Nc1nc2c(N)ncnc2n1[C@@H]1O[C@@H]2CO[P@](=O)([O-])O[C@H]2[C@H]1O,0,0,True,False,False,False,False,False,True
ZINC96058975,CC(C)OCc1nn(C)c2c1CC[N@@H+](CC1CC1)C2,0,0,True,False,False,False,False,False,True
ZINC00480716,N#CC1(C#N)OC(C#N)(C#N)[C@@H]2SC=C[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC38577880,[O-]C1=NC(=S)N=C2S[C@@H]3CC4(CCCCC4)CCC3=C12,0,0,True,False,False,False,False,False,True
ZINC13800560,N/C(=N\O)c1nonc1/C(N)=N\O,0,0,True,False,False,False,False,False,True
ZINC35567165,CN(C)[C@@H]1COC[C@H]1[NH2+]C1CC1,0,0,True,False,False,False,False,False,True
ZINC39078225,C1=CN2COCC2=CN=C1,0,0,True,False,False,False,False,False,True
ZINC77320632,Cc1nccn1-c1ccc(-c2ccnc3c2ccn3C)nn1,0,0,True,False,False,False,False,False,True
ZINC06037034,C[C@@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,True,False,False,False,False,False,True
ZINC39287532,O=C1C(C[NH2+]CCCn2ccnc2)=CC2=CC=C[C@H]3CCN1[C@H]23,0,0,True,False,False,False,False,False,True
ZINC13507674,NC/C(O)=N/[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC39096114,C[C@H]1[NH2+][C@H](CCP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC39079422,CC[C@]1(CO)COC[N@H+]1C,0,0,True,False,False,False,False,False,True
ZINC95923629,CCNc1ssc(=S)[n+]1CC,0,0,True,False,False,False,False,False,True
ZINC77505184,[O-]c1nc(C(F)(F)C(F)(F)F)nc2c1CCNC2,0,0,True,False,False,False,False,False,True
ZINC39080124,O[C@H]1C=C[C@@H](n2cc[nH+]c2)C1,0,0,True,False,False,False,False,False,True
ZINC67756842,C[NH+](C)CCCn1cc[nH+]c1-c1ccc(C#CC(C)(C)O)s1,0,0,True,False,False,False,False,False,True
ZINC00386976,Cc1cc2scc(C)[n+]2cc1C,0,0,True,False,False,False,False,False,True
ZINC64723329,C1=CN=C(C2=NN[C@H](SCc3cc(-c4ccco4)on3)O2)C1,0,0,True,False,False,False,False,False,True
ZINC00436889,CC1(C)C(/C=N/N)=[N+]([O-])C(C)(C)N1O,0,0,True,False,False,False,False,False,True
ZINC57300647,CCCNC(=O)CCNC(=O)NNC(=O)c1cc2c(s1)CCCCC2,0,0,True,False,False,False,False,False,True
ZINC19366615,[NH3+]CCN1CC1,0,0,True,False,False,False,False,False,True
ZINC96299251,NN[C@]12C[C@](C(F)(F)F)(C1)C2,0,0,True,False,False,False,False,False,True
ZINC04529131,Clc1nsnc1Cl,0,0,True,False,False,False,False,False,True
ZINC01693058,OCC(CO)(CO)COCC(CO)(CO)CO,0,0,True,False,False,False,False,False,True
ZINC00477127,CCc1nc2sc3c(c2c2nnnn12)CC(C)(C)OC3,0,0,True,False,False,False,False,False,True
ZINC82993376,CC(C)CC[C@H](C)[NH2+]CC[C@@H](C)O,0,0,True,False,False,False,False,False,True
ZINC78965685,FC(F)(F)Cn1c(SC/C(Cl)=C/Cl)nnc1N1CCOCC1,0,0,True,False,False,False,False,False,True
ZINC05575090,C=CCN1/C(=N/C(=O)CCCC(=O)[O-])S[C@@H]2CS(=O)(=O)C[C@H]21,0,0,True,False,False,False,False,False,True
ZINC39082580,C[C@@H]1CCC[C@@H](C)[NH+]1C1C[NH2+]C1,0,0,True,False,False,False,False,False,True
ZINC95708228,C#CC1=C2C=NN=C2C=CC1,0,0,True,False,False,False,False,False,True
ZINC06661723,CCOC(C#CC[NH3+])OCC,0,0,True,False,False,False,False,False,True
ZINC65455061,Cc1[nH+]c(N(C)C)nc(NCCc2nnn[n-]2)c1C,0,0,True,False,False,False,False,False,True
ZINC91974108,COCc1cc(Cn2cc(-c3cc(C(C)(C)C)[nH]n3)nn2)[nH]n1,0,0,True,False,False,False,False,False,True
ZINC12403601,C=C(C)[C@H]1CC=C(C)/C(=N/NC(N)=S)C1,0,0,True,False,False,False,False,False,True
ZINC95737541,Nc1cncc(OC2CC2)c1F,0,0,True,False,False,False,False,False,True
ZINC44137457,Cc1[nH+]c(N)[nH]c1[C@@H](O)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC04743746,CCN(CCN(C)N=O)N=O,0,0,True,False,False,False,False,False,True
ZINC45069840,O=C1N[C@@H]2[C@@H]3C=C[C@@H]4[C@@H]([C@@H]4C=C3)[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC06360406,N=C(N)/[NH+]=C(/N)[S-],0,0,True,False,False,False,False,False,True
ZINC39051793,CSc1cccc([O-])n1,0,0,True,False,False,False,False,False,True
ZINC33868771,CN1CCN(c2cc3c(c[nH+]2)CCN3)CC1,0,0,True,False,False,False,False,False,True
ZINC13509860,O=[N+]([O-])/N=C1/[N-][C@H]2Nc3nnnn3N[C@H]2N1,0,0,True,False,False,False,False,False,True
ZINC39095831,C1N[C@@H]2CC3(CC3)[C@H]1O2,0,0,True,False,False,False,False,False,True
ZINC12971189,c1c[nH]c(Cc2[nH]cc(Cc3c[nH]cn3)[nH+]2)n1,0,0,True,False,False,False,False,False,True
ZINC04024509,N#Cc1cc(-c2ncc(C(F)(F)F)cc2Cl)cnc1O,0,0,True,False,False,False,False,False,True
ZINC39077781,[NH2+]=CN1CC[C@@H](S)C1,0,0,True,False,False,False,False,False,True
ZINC39089281,OCC#CCOC1=NOCC1,0,0,True,False,False,False,False,False,True
ZINC95932489,CO[C@@H]1CCNC[C@H]1[NH3+],0,0,True,False,False,False,False,False,True
ZINC18067720,C[C@@H](CCl)O[P@]1(=O)C[C@@](C)([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C1,0,0,True,False,False,False,False,False,True
ZINC39089172,NC(=[NH2+])OC1=CC=CCN1O,0,0,True,False,False,False,False,False,True
ZINC98090706,CC(C)=CCC/C(C)=C\C/C=C\[C@](C)(O)CCC=C(C)C,0,0,True,False,False,False,False,False,True
ZINC06613451,O/N=C1\CCCCCC[C@@H]1SC1CCCCC1,0,0,True,False,False,False,False,False,True
ZINC83305080,CC#C[C@@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0,0,True,False,False,False,False,False,True
ZINC05368627,[O-][C@@H](C#C[C@@H](O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,0,0,True,False,False,False,False,False,True
ZINC12402966,C[C@@H]1O[C@@H](C(Cl)(Cl)Cl)O[C@@H]1C,0,0,True,False,False,False,False,False,True
ZINC96900047,CC(C)[N+]1=C[C@@H](N)OC1,0,0,True,False,False,False,False,False,True
ZINC04088996,CC(C)/N=C(\O)c1cnc2n(c1=O)CCS2,0,0,True,False,False,False,False,False,True
ZINC34933681,NCC[N@H+]1C[C@H]2C=C[C@@H]1C2,0,0,True,False,False,False,False,False,True
ZINC39049749,CC(C)(C)C#Cn1cncn1,0,0,True,False,False,False,False,False,True
ZINC39715220,CC1(C)O[C@@H]2[C@H](O1)[C@H]1OC(C)(C)O[C@H]1O[C@@H]2COCCC[NH3+],0,0,True,False,False,False,False,False,True
ZINC96093132,c1cnc(N2CC[C@]3(C[C@H](n4cnnc4)CO3)C2)nc1,0,0,True,False,False,False,False,False,True
ZINC84544119,NC(=O)[C@H]1CC[N@H+](CC(=O)NC[C@@]23C[C@@H]4C[C@@H](C[C@@](Br)(C4)C2)C3)CC1,0,0,True,False,False,False,False,False,True
ZINC04124534,C1=CC[C@H]([C@H]2OC[C@H](C[NH+]3CCOCC3)O2)CC1,0,0,True,False,False,False,False,False,True
ZINC00223971,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C21CCCC1,0,0,True,False,False,False,False,False,True
ZINC45070051,COC(=O)N1N=N[C@]2(C)[C@]3(C)C(C)=C(C)[C@]3(C)[C@@]12C,0,0,True,False,False,False,False,False,True
ZINC96214852,C=CC[N@@H+]1CCC[C@]12CCCN(S(C)(=O)=O)C2,0,0,True,False,False,False,False,False,True
ZINC04268284,C/C1=C/C=C/C(=O)C#CC#CC(=O)/C=C/C=C(/C)C#CC#C1,0,0,True,False,False,False,False,False,True
ZINC05382457,N#CC#CC1=CCCCC1,0,0,True,False,False,False,False,False,True
ZINC26511738,CCCc1c(CC)[nH+]n(C)c1N,0,0,True,False,False,False,False,False,True
ZINC05631116,S=c1[nH]nc2n1-c1sc3c(c1-c1nnc([S-])n1-2)CCC3,0,0,True,False,False,False,False,False,True
ZINC03885924,[NH3+]Cc1cn2ccsc2n1,0,0,True,False,False,False,False,False,True
ZINC40105712,Cc1noc(C)c1S(=O)(=O)NCCO[C@H]1CCCC[C@H]1C,0,0,True,False,False,False,False,False,True
ZINC63882530,Cc1cc[nH+]c(C[C@@H](C)N(C)C(=O)[C@@H]2C=CC=N2)c1,0,0,True,False,False,False,False,False,True
ZINC59103317,N=C1C(=O)C(=O)[C@H]1NO,0,0,True,False,False,False,False,False,True
ZINC39326056,NOCCCF,0,0,True,False,False,False,False,False,True
ZINC67317218,NC(N)=N/N=C/c1ccc(/C=N/[NH+]=C(N)N)[nH]1,0,0,True,False,False,False,False,False,True
ZINC86012836,BrC1=CN2N=CN[C@@H]2C=C1,0,0,True,False,False,False,False,False,True
ZINC03159917,Nc1nnc2n1-c1nnc(N)n1-c1nnc(N)n1-2,0,0,True,False,False,False,False,False,True
ZINC95890268,[NH2+]=C(O)SCCl,0,0,True,False,False,False,False,False,True
ZINC96130463,Cc1nc(-c2nc(C3CCOCC3)nn2[C@@H]2CCS(=O)(=O)C2)cs1,0,0,True,False,False,False,False,False,True
ZINC63908906,CCN(CC1=NC(=O)[C@H]2SC=CC2=N1)C[C@@H]1CC=C(Cl)S1,0,0,True,False,False,False,False,False,True
ZINC33783235,CN(C(=S)[S-])[C@]1(C)CCS(=O)(=O)C1,0,0,True,False,False,False,False,False,True
ZINC95707494,[NH2+]=C1N=CC2=CC[N-]C2=N1,0,0,True,False,False,False,False,False,True
ZINC91252393,FC(F)(F)C(F)(F)OC[C@H]1CCCC[NH2+]1,0,0,True,False,False,False,False,False,True
ZINC18250511,NC(=O)C1(N2CCCCC2)CCN([C@@H]2CC(=O)NC2=O)CC1,0,0,True,False,False,False,False,False,True
ZINC38783406,CSC1=N[C@H](N/C(C)=C(/CCO)C(=O)N2NC(SC)=N[C@H]2N)N=N1,0,0,True,False,False,False,False,False,True
ZINC43741804,CC1=C[C@@H](C)[C@@H]2CO[C@H](C3=CCC[N+](C)(C)C3)[C@H]1[C@H]2C,0,0,True,False,False,False,False,False,True
ZINC95922022,C#C[C@]1(Cl)CC12CC2,0,0,True,False,False,False,False,False,True
ZINC85228784,CC(C)CO[C@H](C)c1noc(CS[C@@H](C)c2ncc(C(C)(C)C)o2)n1,0,0,True,False,False,False,False,False,True
ZINC72473275,Nc1nc2c(c(N[C@@H]3CCCOC3)n1)CC[NH2+]CC2,0,0,True,False,False,False,False,False,True
ZINC75583053,C=CC/[NH+]=C(\NCCOC)NCc1ncc(C)c(OC)c1C,0,0,True,False,False,False,False,False,True
ZINC06884159,CC(C)SC#CC(F)F,0,0,True,False,False,False,False,False,True
ZINC39095176,N/[NH+]=C1/NC[C@H](CO)N1,0,0,True,False,False,False,False,False,True
ZINC18193448,CN/C(=N\C#N)NCCSCc1csc(N=C(N)N)n1,0,0,True,False,False,False,False,False,True
ZINC06382805,N=C([O-])C1=[NH+]C=N/C1=N/Nc1c(N)n[nH]c1N,0,0,True,False,False,False,False,False,True
ZINC05355614,COC(CN=[N+]=[N-])OC,0,0,True,False,False,False,False,False,True
ZINC39077699,C1CN2COC[N@H+](C1)C2,0,0,True,False,False,False,False,False,True
ZINC40736124,CCN(CCO)c1nc[nH+]c(Nc2ccc(Br)cn2)c1N,0,0,True,False,False,False,False,False,True
ZINC39223739,COC1=CC2=NC(C)=C(C)[C@H]2c2c(C)cc(C)nc21,0,0,True,False,False,False,False,False,True
ZINC71773534,NC(=O)c1cscc1Br,0,0,True,False,False,False,False,False,True
ZINC05243244,CC(C)(C)C1=NN(C2=NNC(=[NH2+])Cc3ncnn32)[C@](O)(C(F)(F)F)C1,0,0,True,False,False,False,False,False,True
ZINC53376271,CC[N@H+](CCN[C@H](C)COC)C(C)C,0,0,True,False,False,False,False,False,True
ZINC89661525,C[NH2+]CCCc1[nH]nc(NC(=O)[C@H]2CSCCS2)c1C#N,0,0,True,False,False,False,False,False,True
ZINC19357315,C=CCn1cnnc1SCc1cc(=O)n2cc(Cl)ccc2n1,0,0,True,False,False,False,False,False,True
ZINC12668961,CC(C)[C@@H](C)[NH2+][C@@H](C)C(=O)NC(N)=O,0,0,True,False,False,False,False,False,True
ZINC16940156,CN(C)/C=C(/N=C(C#N)C#N)C1OCCO1,0,0,True,False,False,False,False,False,True
ZINC06562334,O=C1CSC(NC2=NNC(=O)SC2)=NN1,0,0,True,False,False,False,False,False,True
ZINC04624958,CNc1nc(Cl)nc(Oc2ccc(O)nn2)n1,0,0,True,False,False,False,False,False,True
ZINC04803470,[NH2+]=C(NO)C(F)(F)C(F)(F)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC65594336,c1csc(-c2n[nH]cc2CNCCc2cn3c([nH+]2)CCCC3)c1,0,0,True,False,False,False,False,False,True
ZINC86073188,C#C[C@H](N)C(C)(C)OC,0,0,True,False,False,False,False,False,True
ZINC96336197,C=C/C=C/C(=C)C,0,0,True,False,False,False,False,False,True
ZINC86101864,CC/[NH+]=C(/NC[C@H](C)CN1CCOCC1)N1CC[C@H]([N+]2=CCCC2)C1,0,0,True,False,False,False,False,False,True
ZINC06280230,Cc1nnc([O-])c2nnn(C)c12,0,0,True,False,False,False,False,False,True
ZINC78724884,C[NH+](C)C[C@H](N)CO,0,0,True,False,False,False,False,False,True
ZINC95494855,C[N+](C)=CCN,0,0,True,False,False,False,False,False,True
ZINC95756922,NCCC1=NC2=CC(Br)=CCC2=N1,0,0,True,False,False,False,False,False,True
ZINC91586804,O=C(N[C@H]1C[N@H+](CCCO)C[C@@H]1C1CC1)c1cc(C(F)(F)F)[n-]n1,0,0,True,False,False,False,False,False,True
ZINC90615707,CC(C)(C)C(=O)N[C@@]1(O)C=CC=[NH+]C1,0,0,True,False,False,False,False,False,True
ZINC01398617,FC(F)=C(F)CCSc1ncnc2[nH]cnc12,0,0,True,False,False,False,False,False,True
ZINC43772089,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC(=O)CCC,0,0,True,False,False,False,False,False,True
ZINC02810854,COC1=C([C@@]2(O)CCCc3c2no[n+]3[O-])CCc2c1no[n+]2[O-],0,0,True,False,False,False,False,False,True
ZINC04452992,CCC[C@H]1[C@H]2C[N@H+](C(C)C)CC=C2[C@@H](C#N)C(=[NH2+])C1(C#N)C#N,0,0,True,False,False,False,False,False,True
ZINC97095743,COCCC1(CN2C[C@@H](C[NH3+])C[C@H]2C)CCC1,0,0,True,False,False,False,False,False,True
ZINC89201638,C#Cc1ccc2[nH+]c(C)cn2c1,0,0,True,False,False,False,False,False,True
ZINC39100720,CCSC1=[NH+]/C(=N/O)[C@@](C)(CC)N1,0,0,True,False,False,False,False,False,True
ZINC15894699,CCOP(=O)(OCC)Oc1ccncc1,0,0,True,False,False,False,False,False,True
ZINC65394036,CSc1nnc(CC2CCN(C3=[NH+]C([NH-])=NC4=NC=N[C@H]43)CC2)n1C,0,0,True,False,False,False,False,False,True
ZINC90104326,N#Cc1ccc(-c2noc([C@@H]3CCc4cn[nH]c4C3)n2)nc1,0,0,True,False,False,False,False,False,True
ZINC05964153,CC1=C(/C=C/C(C)=C/C=C/[C@H](C)CCO)C(C)(C)CCC1,0,0,True,False,False,False,False,False,True
ZINC39049102,C=C[C@@H]1O[C@@H]1C#CC1CC1,0,0,True,False,False,False,False,False,True
ZINC85739420,O=C(C1CCCC1)N1CSC[C@@H]1/C([O-])=N/c1nc2ccc(F)cn2n1,0,0,True,False,False,False,False,False,True
ZINC19170183,C1CN[NH2+]C1,0,0,True,False,False,False,False,False,True
ZINC79918155,CC(C)[C@H](C[NH2+]Cc1cn[nH]c1-c1cccnc1)N1CC[NH+](C)CC1,0,0,True,False,False,False,False,False,True
ZINC33284609,CC(/C=N\NC(=O)Cc1cccn1C)=C/c1ccco1,0,0,True,False,False,False,False,False,True
ZINC72226130,C#CCNC[C@@H]1C[C@@H]1C,0,0,True,False,False,False,False,False,True
ZINC63846696,[NH2+]=C1N[C@H]2N=NC=C2C(NCCC(F)(F)F)=[NH+]1,0,0,True,False,False,False,False,False,True
ZINC72231187,Cc1cc[n-]/c(=N/C#N)c1,0,0,True,False,False,False,False,False,True
ZINC09158516,Nc1nc(NCCOCCO)nc(NCCO)c1[N+](=O)[O-],0,0,True,False,False,False,False,False,True
ZINC13654254,CC1(C)C[C@H]2C[C@](C)(C[N@H+]2CC#C[C@@]2(C)CCCC(C)(C)O2)C1,0,0,True,False,False,False,False,False,True
ZINC29392140,CN(CC#CCN1CCCC1=O)CCBr,0,0,True,False,False,False,False,False,True
ZINC04362143,C[C@@H]1C[N+](C)(C)[C@H](C)C[C@@]1(O)C#CC(C)(C)O,0,0,True,False,False,False,False,False,True
ZINC59371103,CNC(=S)NN[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC11548523,C#CCSC1=N/C(=C\N(C)C)C([O-])=N1,0,0,True,False,False,False,False,False,True
ZINC04175706,NN1C(=O)/C(=C/c2cccs2)SC1=S,0,0,True,False,False,False,False,False,True
ZINC14616226,C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCCCO,0,0,True,False,False,False,False,False,True
ZINC08066741,CN(CC(=O)NC(C)(C)C)C(=O)CSc1nnc(N)s1,0,0,True,False,False,False,False,False,True
ZINC55167263,O=S(=O)(CCO)CC[C@H](O)S(=O)(=O)CCO,0,0,True,False,False,False,False,False,True
ZINC54448203,C#CCN1CC[NH+](Cn2c(=S)nc3nc(C)c(C)c(C)n32)CC1,0,0,True,False,False,False,False,False,True
ZINC39376951,CCc1sc([C@@H]2C(C#N)=C(N)O[C@@H]3N=NC(C)=C32)cc1Br,0,0,True,False,False,False,False,False,True
ZINC01537048,CC#CC1(OC[C@H](COCC(C)C)[NH+]2CCCC2)CCCCC1,0,0,True,False,False,False,False,False,True
ZINC02310540,CCCS[P@]1(=S)NCCCO1,0,0,True,False,False,False,False,False,True
ZINC04537921,O[C@H]([C@@H]1COC2(CCCCC2)O1)[C@@H](O)[C@H]1COC2(CCCCC2)O1,0,0,True,False,False,False,False,False,True
ZINC44700036,Fc1ccc2c(I)c[nH]c2n1,0,0,True,False,False,False,False,False,True
ZINC95923792,CC1=c2[nH]c(=S)n(C)c2=NC2=NCCN21,0,0,True,False,False,False,False,False,True
ZINC39095561,C1=NO[C@@H]2C=NN3C[C@@H]3[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC59381819,CCSC[C@@H](C)SCC,0,0,True,False,False,False,False,False,True
ZINC89737801,CCC/C(N)=N/OCc1nsc(N(C)C)n1,0,0,True,False,False,False,False,False,True
ZINC96109300,Cc1cccc(COC[C@@]23CCC[C@@H]2C[N@@H+](Cc2scnc2C)C3)n1,0,0,True,False,False,False,False,False,True
ZINC04318023,C=CCOC[C@@H](O)Cn1c(NCC)nc2c1c(=O)[nH]c(=O)n2C,0,0,True,False,False,False,False,False,True
ZINC39272542,Cc1nnc2n1N[C@H]([C@H]1C=C(CC(C)C)N=N1)S2,0,0,True,False,False,False,False,False,True
ZINC25695898,NCCN(CC[NH3+])/[N+]([O-])=N\O,0,0,True,False,False,False,False,False,True
ZINC01027375,CC1(C)[C@H]2CC(=O)[C@]1(C)C[C@@H]2Br,0,0,True,False,False,False,False,False,True
ZINC98051432,S=c1sc(N2CCCC2)[nH+]n1C[N@H+](C1CCCC1)C1CC1,0,0,True,False,False,False,False,False,True
ZINC86864159,O[C@]1(Cl)C=CC(F)=CC1,0,0,True,False,False,False,False,False,True
ZINC00711476,C[NH+](C)/C=C/C=C1C(=O)CCCC1=O,0,0,True,False,False,False,False,False,True
ZINC69571655,Cc1sc2nc([C@@H](C)[NH2+][C@H](C)[C@@H](C)n3cccn3)[nH]c(=O)c2c1C,0,0,True,False,False,False,False,False,True
ZINC72429665,O=C(CCc1cc2n(n1)CCC[NH2+]C2)N1CC=C[C@@H]1CO,0,0,True,False,False,False,False,False,True
ZINC97164222,CSc1s/c(=N\S(C)(=O)=O)[nH]c1C,0,0,True,False,False,False,False,False,True
ZINC28470054,[NH3+][C@H]1C=C[C@@H](O)[C@@H](O)[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC34348434,C[NH2+][C@H]1[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@@H](O)[C@@H]([NH3+])C[C@H]2N)OC[C@@]1(C)O,0,0,True,False,False,False,False,False,True
ZINC24260849,C#C[C@@H]1CC[C@H]2CCCN12,0,0,True,False,False,False,False,False,True
ZINC89914010,CC#CC[N@@H+](CCS(C)(=O)=O)C(C)(C)C,0,0,True,False,False,False,False,False,True
ZINC49417548,Cc1nn(C(F)F)c(C)c1C/C([O-])=N/S(=O)(=O)C(C)C,0,0,True,False,False,False,False,False,True
ZINC83237606,Cc1ccsc1[C@H]1N[C@H](C(=O)[O-])C(C)(C)S1,0,0,True,False,False,False,False,False,True
ZINC03163240,CC[C@@](C)(O)C#CCOCOCCCl,0,0,True,False,False,False,False,False,True
ZINC01763056,CC(C)(C)C1=CC(=O)[C@](Cl)(C(C)(C)C)[C@H](Cl)C1=O,0,0,True,False,False,False,False,False,True
ZINC95902212,NN[C@H]1NC=CN=C1Cl,0,0,True,False,False,False,False,False,True
ZINC42134304,C=C(C)CN(CC)C(=O)[C@H](C)[N@H+]1CC[C@H](NS(=O)(=O)CCC)CC1,0,0,True,False,False,False,False,False,True
