ID,SMARTS,log P,MR,Notes/Questions,Center_atom
N14,"[N;+,+2,+3](=[N;-,-2,-3])=N",0.2887,3.359,,N
NS,[#7],-0.4806,2.134,,N
O1,[o],0.1552,1.08,,O
O2,"[OH,OH2]",-0.2893,0.8238,,O
O3,[O]([A;!#1])[A;!#1],-0.0684,1.085,,O
O4,"[O](a)[!#1;A,a]",-0.4195,1.182,,O
O5,"[O]=[#7,#8]",0.0335,3.367,,O
O5,"[OX1;-,-2,-3][#7]",0.0335,3.367,,O
O6,"[OX1;-,-2,-2][#16]",-0.3339,0.7774,,O
O6,[O;-0]=[#16;-0],-0.3339,0.7774,,O
O12,[O-]C(=O),-1.3259999999999998,0.0,order flip here intentional,O
O7,"[OX1;-,-2,-3][!#1;!N;!S]",-1.189,0.0,,O
O8,[O]=c,0.1788,3.135,,O
O9,[O]=[CH]C,-0.1526,0.0,,O
O9,[O]=C(C)([A;!#1]),-0.1526,0.0,,O
O9,"[O]=[CH][N,O]",-0.1526,0.0,,O
O9,[O]=[CH2],-0.1526,0.0,,O
O9,[O]=[CX2]=O,-0.1526,0.0,,O
O10,[O]=[CH]c,0.1129,0.2215,,O
O10,"[O]=C([C,c])[a;!#1]",0.1129,0.2215,,O
O10,[O]=C(c)[A;!#1],0.1129,0.2215,,O
O11,[O]=C([!#1;!#6])[!#1;!#6],0.4833,0.389,,O
OS,[#8],-0.1188,0.6865,,O
F,[#9-0],0.4202,1.108,,F
Cl,[#17-0],0.6895,5.853,,Cl
Br,[#35-0],0.8456,8.927,,Br
I,[#53-0],0.8857,14.02,,I
Hal,"[#9,#17,#35,#53;-]",-2.9960000000000004,0.0,,Ha
Hal,"[#53;+,+2,+3]",-2.9960000000000004,0.0,,Ha
Hal,"[+;#3,#11,#19,#37,#55]",-2.9960000000000004,0.0,Footnote h indicates these should be here?,Ha
P,[#15],0.8612,6.92,,P
S2,"[S;-,-2,-3,-4,+1,+2,+3,+5,+6]",-0.0024,7.365,Order flip here is intentional,S
S2,"[S-0]=[N,O,P,S]",-0.0024,7.365,Expanded definition of (pseudo-)ionic S,S
S1,[S;A],0.6482,7.591,Order flip here is intentional,S
S3,[s;a],0.6237,6.691,,S
Me1,"[#3,#11,#19,#37,#55]",-0.3808,5.754,,Me
Me1,"[#4,#12,#20,#38,#56]",-0.3808,5.754,,Me
Me1,"[#5,#13,#31,#49,#81]",-0.3808,5.754,,Me
Me1,"[#14,#32,#50,#82]",-0.3808,5.754,,Me
Me1,"[#33,#51,#83]",-0.3808,5.754,,Me
Me1,"[#34,#52,#84]",-0.3808,5.754,,Me
Me2,"[#21,#22,#23,#24,#25,#26,#27,#28,#29,#30]",-0.0025,0.0,,Me
Me2,"[#39,#40,#41,#42,#43,#44,#45,#46,#47,#48]",-0.0025,0.0,,Me
Me2,"[#72,#73,#74,#75,#76,#77,#78,#79,#80]",-0.0025,0.0,,Me
