mol_id,smiles,unbrch_alkane,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC68564967,C/C1=C/C=C/C2=CC=CC=C(/C=C/C=C(/C)C#CC#C1)C2,0,0,True,False,False,False,False,False,True
ZINC95830874,C[C@@H]([NH3+])c1ncncc1Br,0,0,True,False,False,False,False,False,True
ZINC03851440,CC1(C)O[C@H]2CO[C@]3(CN=[N+]=[N-])OC(C)(C)O[C@@H]3[C@@H]2O1,0,0,True,False,False,False,False,False,True
ZINC89100900,C[C@@H]1CC(CC[N@H+](C)[C@@H]2CCS(=O)(=O)C2)C[C@@H](C)C1,0,0,True,False,False,False,False,False,True
ZINC04727566,O=c1[nH]c(/C=C/c2ccsc2)c([N+](=O)[O-])c(=O)[nH]1,0,0,True,False,False,False,False,False,True
ZINC33355101,O/C(=N\c1nc[nH]n1)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC72082387,CCN(Cc1ccoc1)S(=O)(=O)N(C)CCC#N,0,0,True,False,False,False,False,False,True
ZINC38250987,O[C@H]1C#CCCCCC#CC1,0,0,True,False,False,False,False,False,True
ZINC01532860,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,0,0,True,False,False,False,False,False,True
ZINC38534751,N#C[C@H](CC(=O)/C=N\NC(N)=O)SCCC(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC38811131,C[C@]12CC[C@H]3[C@@H](CCC4=C/C(=N\N=C(N)N)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0,0,True,False,False,False,False,False,True
ZINC20395287,C=C1C=C([O-])N2C(=NC(NCc3ccco3)=[NH+][C@@H]2c2cccnc2)N1,0,0,True,False,False,False,False,False,True
ZINC04317659,OCC[N-]C1=NC=NC2=NN=C[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC02310540,CCCS[P@]1(=S)NCCCO1,0,0,True,False,False,False,False,False,True
ZINC95766700,NCc1cc(N)cc(N)[nH+]1,0,0,True,False,False,False,False,False,True
ZINC95923629,CCNc1ssc(=S)[n+]1CC,0,0,True,False,False,False,False,False,True
ZINC96045836,C1CC(N2C[C@@H]3C[C@@H](c4nnc(C5CC5)o4)O[C@@H]3C2)CCO1,0,0,True,False,False,False,False,False,True
ZINC43741804,CC1=C[C@@H](C)[C@@H]2CO[C@H](C3=CCC[N+](C)(C)C3)[C@H]1[C@H]2C,0,0,True,False,False,False,False,False,True
ZINC95923489,C[C@@H](C#CC1CC1)C1CC1,0,0,True,False,False,False,False,False,True
ZINC39122092,NC(=[NH2+])N(C(N)=S)c1ccccn1,0,0,True,False,False,False,False,False,True
ZINC00480716,N#CC1(C#N)OC(C#N)(C#N)[C@@H]2SC=C[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC65370620,C[NH+](C)Cc1csc([C@@H]2[NH2+]CCc3nc[nH]c32)c1,0,0,True,False,False,False,False,False,True
ZINC01691446,C[N+](C)(N)CCC[N+](C)(C)N,0,0,True,False,False,False,False,False,True
ZINC39060321,NOCC[C@@H]1NC(=O)NC1=O,0,0,True,False,False,False,False,False,True
ZINC90615707,CC(C)(C)C(=O)N[C@@]1(O)C=CC=[NH+]C1,0,0,True,False,False,False,False,False,True
ZINC53709700,FC(F)(F)Cc1nnc2n1CC[NH2+]C2,0,0,True,False,False,False,False,False,True
ZINC00547811,CSc1nc(NN)c2c3c(sc2n1)CO[C@@H](C(C)C)C3,0,0,True,False,False,False,False,False,True
ZINC38577880,[O-]C1=NC(=S)N=C2S[C@@H]3CC4(CCCCC4)CCC3=C12,0,0,True,False,False,False,False,False,True
ZINC25695898,NCCN(CC[NH3+])/[N+]([O-])=N\O,0,0,True,False,False,False,False,False,True
ZINC95868171,Nc1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H]([NH3+])[C@H]3SC2)n1CCO,0,0,True,False,False,False,False,False,True
ZINC00409235,C=C(OC)C(=C)OC,0,0,True,False,False,False,False,False,True
ZINC65455729,CN1CCC([NH2+]CC2(Cn3cc[nH+]c3)CC2)CC1,0,0,True,False,False,False,False,False,True
ZINC05453691,CCO[P@@](C)(=S)OP(=S)(N(CC)CC)N(CC)CC,0,0,True,False,False,False,False,False,True
ZINC05680928,Cc1cc(/C=N/O)oc1C,0,0,True,False,False,False,False,False,True
ZINC40780996,Nc1c(Nc2nccs2)nc[nH+]c1Nc1ncc(C(F)(F)F)cc1Cl,0,0,True,False,False,False,False,False,True
ZINC17108050,C/C([NH2+]N)=C1/N=NC(C)(C)NN1,0,0,True,False,False,False,False,False,True
ZINC49514581,CO[C@@H](C)/C([O-])=N/S(=O)(=O)c1c(C)nn(C)c1Cl,0,0,True,False,False,False,False,False,True
ZINC93640517,FC(F)SCc1ccc(CN2CCOC3(CCC3)C2)o1,0,0,True,False,False,False,False,False,True
ZINC39077724,CSC#CC[NH+](C)C,0,0,True,False,False,False,False,False,True
ZINC96341605,Nc1ncnc2c1ncn2[C@H]1O[C@H](CO[P@H](=S)OCO)[C@H](O)[C@H]1O,0,0,True,False,False,False,False,False,True
ZINC58430426,Cc1[nH+]n(C)c(N(C)C)c1CNC[C@@H](C)[N@@H+]1CCc2sccc2C1,0,0,True,False,False,False,False,False,True
ZINC06562334,O=C1CSC(NC2=NNC(=O)SC2)=NN1,0,0,True,False,False,False,False,False,True
ZINC68230720,N#CCN(C(=O)[C@H]1CCC[C@H](C(F)(F)F)C1)C1CC1,0,0,True,False,False,False,False,False,True
ZINC90201765,O=S(=O)(NC[C@H]1C[N@H+]2CCCC[C@@H]2CO1)c1ccc(Cl)s1,0,0,True,False,False,False,False,False,True
ZINC39049311,O=C=C=C1C(F)=C1C#CF,0,0,True,False,False,False,False,False,True
ZINC95384058,O=C(c1cc2c([nH]c1=O)CCCC2)N1CCc2[nH]c[nH+]c2C1,0,0,True,False,False,False,False,False,True
ZINC02572370,C1=C[C@H]2[C@@H](C1)[C@H]1C=C[C@@H]2C1,0,0,True,False,False,False,False,False,True
ZINC89942980,C[N@@H+](CCCc1n[nH]c(N)c1C#N)C[C@@H](O)COC(C)(C)C,0,0,True,False,False,False,False,False,True
ZINC39101329,CC#CC[N@@H+]1C[C@H](C)[C@@](O)(CC)C[C@@H]1C,0,0,True,False,False,False,False,False,True
ZINC00105726,Cc1ccc(-n2c(C)cc(/C=C3/NC(=O)NC3=O)c2C)nc1,0,0,True,False,False,False,False,False,True
ZINC39078225,C1=CN2COCC2=CN=C1,0,0,True,False,False,False,False,False,True
ZINC04336385,NC(=[NH2+])NN[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O,0,0,True,False,False,False,False,False,True
ZINC13509860,O=[N+]([O-])/N=C1/[N-][C@H]2Nc3nnnn3N[C@H]2N1,0,0,True,False,False,False,False,False,True
ZINC39111301,CSC1(/C=C/[C@@H](C)O)CCCCC1,0,0,True,False,False,False,False,False,True
ZINC00711476,C[NH+](C)/C=C/C=C1C(=O)CCCC1=O,0,0,True,False,False,False,False,False,True
ZINC04624958,CNc1nc(Cl)nc(Oc2ccc(O)nn2)n1,0,0,True,False,False,False,False,False,True
ZINC03195600,CCOC(=O)c1sc(N)c(C(=O)OCC)c1CBr,0,0,True,False,False,False,False,False,True
ZINC38236956,C[C@@]1(O)[C@H]2O[C@@]3(O)O[C@@H]1[C@@H]1[C@@H](O)NC(=[NH2+])N[C@]1([C@@H]2O)[C@@H]3O,0,0,True,False,False,False,False,False,True
ZINC69601540,CCCc1cc(N2CCC[C@H]2Cn2cncn2)n2ncnc2n1,0,0,True,False,False,False,False,False,True
ZINC89696136,CCCC[C@@H](CCC)NC(=O)NNC(=O)CSC,0,0,True,False,False,False,False,False,True
ZINC98210098,C[C@@H]1OCC[C@@]12C[NH2+]CCO2,0,0,True,False,False,False,False,False,True
ZINC95708228,C#CC1=C2C=NN=C2C=CC1,0,0,True,False,False,False,False,False,True
ZINC95707403,N[C@@H]1C=C(F)C2=C(O)N=NC2=C1,0,0,True,False,False,False,False,False,True
ZINC00289778,CNC(=S)[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3,0,0,True,False,False,False,False,False,True
ZINC67183076,CN(C)C(C)(C)C[NH2+]Cc1cn(C)nc1-c1ccncc1,0,0,True,False,False,False,False,False,True
ZINC82163061,[NH3+]C[C@@H]1CC[C@H]1CF,0,0,True,False,False,False,False,False,True
ZINC20920930,C=CCSc1nnc(N/N=C/c2cnn(C(C)C)c2)n1N,0,0,True,False,False,False,False,False,True
ZINC39048877,C#C[C@H]1O[C@@H]1CCCO,0,0,True,False,False,False,False,False,True
ZINC95737223,N=C1C=C(OC2CC2)C[C@H](N)C1,0,0,True,False,False,False,False,False,True
ZINC19170183,C1CN[NH2+]C1,0,0,True,False,False,False,False,False,True
ZINC02810854,COC1=C([C@@]2(O)CCCc3c2no[n+]3[O-])CCc2c1no[n+]2[O-],0,0,True,False,False,False,False,False,True
ZINC39095561,C1=NO[C@@H]2C=NN3C[C@@H]3[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC88572914,C[C@@H](c1nc(N)nc(N(C)C)n1)N1CC[S@@](=O)C(C)(C)C1,0,0,True,False,False,False,False,False,True
ZINC05372385,C/[NH+]=C1/SCCN1CCSC(N)=[NH2+],0,0,True,False,False,False,False,False,True
ZINC34407284,FC1(F)OC(Cl)(Cl)[C@](F)(Cl)OC1(F)F,0,0,True,False,False,False,False,False,True
ZINC72188022,FC(F)(F)c1ccc(Br)o1,0,0,True,False,False,False,False,False,True
ZINC18067720,C[C@@H](CCl)O[P@]1(=O)C[C@@](C)([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C1,0,0,True,False,False,False,False,False,True
ZINC86012836,BrC1=CN2N=CN[C@@H]2C=C1,0,0,True,False,False,False,False,False,True
ZINC35567165,CN(C)[C@@H]1COC[C@H]1[NH2+]C1CC1,0,0,True,False,False,False,False,False,True
ZINC59103317,N=C1C(=O)C(=O)[C@H]1NO,0,0,True,False,False,False,False,False,True
ZINC97950844,N[C@@H]1N=NNN1,0,0,True,False,False,False,False,False,True
ZINC45821407,Cc1n[nH]c2c1C[C@@H](C)CC2,0,0,True,False,False,False,False,False,True
ZINC20668521,OCCN1CC[NH+](C[C@H](O)COC2CCCCC2)CC1,0,0,True,False,False,False,False,False,True
ZINC89139186,CC[NH+](CC)CCN(CC(C)C)CC1(CO)COC1,0,0,True,False,False,False,False,False,True
ZINC55152857,Cc1cc[nH+]c(C[C@H](C)[N@H+](C)Cc2ccc(C#CC(C)(C)O)s2)c1,0,0,True,False,False,False,False,False,True
ZINC39066361,C[C@H]1[C@H]2C=C[C@H](O2)[C@@H]1C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC69693348,CC(C)(CNN)S(C)(=O)=O,0,0,True,False,False,False,False,False,True
ZINC63908906,CCN(CC1=NC(=O)[C@H]2SC=CC2=N1)C[C@@H]1CC=C(Cl)S1,0,0,True,False,False,False,False,False,True
ZINC65337488,[O-][n+]1cc(F)cc(Cl)c1,0,0,True,False,False,False,False,False,True
ZINC89647235,CCO[C@H](C)c1noc(-c2cccc(OCC(F)F)n2)n1,0,0,True,False,False,False,False,False,True
ZINC96045632,CCOC[C@@H]1CN(S(=O)(=O)N(C)C)Cc2nnn(CC3CC3)c21,0,0,True,False,False,False,False,False,True
ZINC77406120,O=S1(=O)C[C@@H]2[C@H](C1)NCCN2c1ccnc(N2C[C@@H]3C[NH2+]C[C@@H]3C2)n1,0,0,True,False,False,False,False,False,True
ZINC59538712,NNC1=[NH+][C@@H]2CCCC[C@@H]2N1,0,0,True,False,False,False,False,False,True
ZINC22066663,C=CC[N@H+]1Cc2sc(N)nc2CCN1,0,0,True,False,False,False,False,False,True
ZINC39048933,C#C[C@]1(C)COC[N@H+]1C,0,0,True,False,False,False,False,False,True
ZINC10387083,C=C(C)Cn1c(=O)c2c([nH+]c3n2CC(C)=NN3C/C=C/C)n(C)c1=O,0,0,True,False,False,False,False,False,True
ZINC05243244,CC(C)(C)C1=NN(C2=NNC(=[NH2+])Cc3ncnn32)[C@](O)(C(F)(F)F)C1,0,0,True,False,False,False,False,False,True
ZINC17779146,O/N=C1\CCC=CCC[C@H]1n1ccnc1,0,0,True,False,False,False,False,False,True
ZINC39089011,COC1(OC)CCNC[C@@H]1F,0,0,True,False,False,False,False,False,True
ZINC16958408,C/C(CC(O)(C(F)(F)F)C(F)(F)F)=N\NC(N)=S,0,0,True,False,False,False,False,False,True
ZINC11548523,C#CCSC1=N/C(=C\N(C)C)C([O-])=N1,0,0,True,False,False,False,False,False,True
ZINC38783406,CSC1=N[C@H](N/C(C)=C(/CCO)C(=O)N2NC(SC)=N[C@H]2N)N=N1,0,0,True,False,False,False,False,False,True
ZINC12971189,c1c[nH]c(Cc2[nH]cc(Cc3c[nH]cn3)[nH+]2)n1,0,0,True,False,False,False,False,False,True
ZINC04555680,CCCC1=C/C(=C2/N[NH2+]C=C2c2ccc(C(=O)NN)o2)C([O-])=CC1=O,0,0,True,False,False,False,False,False,True
ZINC67675577,Cc1nc(N[C@H]2CC(C)(C)[N@H+](C)C(C)(C)C2)cc(C2CC[NH2+]CC2)n1,0,0,True,False,False,False,False,False,True
ZINC05427769,Oc1ccc[n+](CCC[n+]2cccc(O)c2)c1,0,0,True,False,False,False,False,False,True
ZINC78403468,CC(C)CCc1nc(CN2C(=O)C(=O)N(CC(C)C)C2=O)cs1,0,0,True,False,False,False,False,False,True
ZINC06304573,CO[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@](C#N)(C(N)=O)[C@H]1OC,0,0,True,False,False,False,False,False,True
ZINC01763056,CC(C)(C)C1=CC(=O)[C@](Cl)(C(C)(C)C)[C@H](Cl)C1=O,0,0,True,False,False,False,False,False,True
ZINC20840633,CC1(C)Cc2nc3sc4c(c3cc2CO1)N=CN1CCN=C41,0,0,True,False,False,False,False,False,True
ZINC65455061,Cc1[nH+]c(N(C)C)nc(NCCc2nnn[n-]2)c1C,0,0,True,False,False,False,False,False,True
ZINC91974108,COCc1cc(Cn2cc(-c3cc(C(C)(C)C)[nH]n3)nn2)[nH]n1,0,0,True,False,False,False,False,False,True
ZINC12357725,[NH3+]CCn1nc(C(F)F)cc1C(F)F,0,0,True,False,False,False,False,False,True
ZINC95923805,C[C@@H]1OC(=N)CC1=S,0,0,True,False,False,False,False,False,True
ZINC96299251,NN[C@]12C[C@](C(F)(F)F)(C1)C2,0,0,True,False,False,False,False,False,True
ZINC04074177,C[N@H+]1CC[C@]2(CC1)C(C#N)=C(N)N=C(S)[C@H]2C#N,0,0,True,False,False,False,False,False,True
ZINC39442026,CCC(CC)[C@@H]1N=NC2=C1CN(/C([O-])=C/C1=N[C@@H]3SCC=[N+]3C1)CC2,0,0,True,False,False,False,False,False,True
ZINC95756922,NCCC1=NC2=CC(Br)=CCC2=N1,0,0,True,False,False,False,False,False,True
ZINC88828137,CC/[NH+]=C(/NCC[S@@](=O)C(C)(C)C)NCC(C)(C)c1cccs1,0,0,True,False,False,False,False,False,True
ZINC76204829,CC/C=C(/C)C(=O)N1CSC[C@H]1C(=O)N1CC[NH+](C2CC2)CC1,0,0,True,False,False,False,False,False,True
ZINC08552035,C/C=C/C=C/C(=O)O[C@@H]1CC/C=C/[C@@H](O)[C@H](O)[C@H](CCC)OC1=O,0,0,True,False,False,False,False,False,True
ZINC89990626,N#Cc1c[nH]c(C(=O)Nc2c[nH]cc(Br)c2=O)c1,0,0,True,False,False,False,False,False,True
ZINC65394036,CSc1nnc(CC2CCN(C3=[NH+]C([NH-])=NC4=NC=N[C@H]43)CC2)n1C,0,0,True,False,False,False,False,False,True
ZINC36456634,OC[C@]1([S-])C[C@@H]2[C@@H](O)CC[C@H](O)[C@H]2[NH2+]1,0,0,True,False,False,False,False,False,True
ZINC95535178,CC[C@H](N)C[C@@H]([NH3+])CC,0,0,True,False,False,False,False,False,True
ZINC45236151,C1=[NH+]C=C2C[C@H]1C[C@H]1Cc3scnc3C=C21,0,0,True,False,False,False,False,False,True
ZINC13701908,CC(=O)[C@@H](Sc1ccc(NC(=O)C2CC2)nn1)C(=O)N(C)C,0,0,True,False,False,False,False,False,True
ZINC16940156,CN(C)/C=C(/N=C(C#N)C#N)C1OCCO1,0,0,True,False,False,False,False,False,True
ZINC39125630,NC(=O)[C@@H](F)[C@H](O)C(N)=O,0,0,True,False,False,False,False,False,True
ZINC45205886,C#CC(C)(C)N=C=O,0,0,True,False,False,False,False,False,True
ZINC90598187,[NH3+][C@@H]1C[C@@]23C=CC=C[C@@]12C=C3,0,0,True,False,False,False,False,False,True
ZINC15227955,N/C(=N/[NH+]=C(/[S-])N1CCOCC1)c1cncc(Cl)n1,0,0,True,False,False,False,False,False,True
ZINC69442178,O=[N+]([O-])c1ccc(Nc2cnn(Cc3cn4ccccc4n3)c2)nc1,0,0,True,False,False,False,False,False,True
ZINC92429022,CCc1nn(C)c(CC)c1C[N@@H+](C)C[C@@H]1CCCCO1,0,0,True,False,False,False,False,False,True
ZINC05306617,CC1=N[C@@H]2C=CC=C[C@H]2C(=O)N1n1cccc1,0,0,True,False,False,False,False,False,True
ZINC06659535,O=C1C[C@H](Sc2nc(-c3ccco3)cc(C(F)(F)F)n2)[C@H]2CO[C@@H]1O2,0,0,True,False,False,False,False,False,True
ZINC55359876,C=CCC1(CC=C)CCCC[N@H+]1Cc1cc(C#CCO)cs1,0,0,True,False,False,False,False,False,True
ZINC95527844,C[C@@H](CO)Cc1[nH]c2c([nH+]1)C(=O)NCC(C)(C)C2,0,0,True,False,False,False,False,False,True
ZINC19848408,CCOC1(OCC)NC(=[NH2+])[C@]2(C#N)C3(CCCCC3)[C@]12C#N,0,0,True,False,False,False,False,False,True
ZINC72339372,Cn1nc(C(F)(F)F)c(I)c1C#N,0,0,True,False,False,False,False,False,True
ZINC12175531,O=S1(=O)C=C[C@@H](NC(=S)NCCO)C1,0,0,True,False,False,False,False,False,True
ZINC95970868,Cc1ccc(-c2n[nH]c(/N=C(\[O-])C3=CCCCO3)n2)s1,0,0,True,False,False,False,False,False,True
ZINC36390457,c1c[n+]2cn1CCCC[n+]1ccn(c1)CCCC2,0,0,True,False,False,False,False,False,True
ZINC11663761,C#CC[N@@H+](CC=C)Cc1cnc(S(=O)(=O)CC)n1CCOC,0,0,True,False,False,False,False,False,True
ZINC39077699,C1CN2COC[N@H+](C1)C2,0,0,True,False,False,False,False,False,True
ZINC39089427,CCO[C@H]1CO[C@H](CC)OC1,0,0,True,False,False,False,False,False,True
ZINC15120795,C=C[C@](C)(O)CC[C@@H](O)C(C)(C)O,0,0,True,False,False,False,False,False,True
ZINC20459372,N#CC1=C(N)S[C@@H](c2cccs2)C(C#N)=C1N,0,0,True,False,False,False,False,False,True
ZINC34544348,COc1cncc(C#Cc2cccc(C)n2)c1,0,0,True,False,False,False,False,False,True
ZINC83428432,CCCC[C@@H]1[C@H](N)CC[N@H+]1C,0,0,True,False,False,False,False,False,True
ZINC39077781,[NH2+]=CN1CC[C@@H](S)C1,0,0,True,False,False,False,False,False,True
ZINC06373467,[NH2+]=C(CCO)NO,0,0,True,False,False,False,False,False,True
ZINC95435410,C#CCN(CCc1cc[nH+]cc1)CC1CC1,0,0,True,False,False,False,False,False,True
ZINC39048891,CC#CC1=NOCCO1,0,0,True,False,False,False,False,False,True
ZINC01693058,OCC(CO)(CO)COCC(CO)(CO)CO,0,0,True,False,False,False,False,False,True
ZINC32778782,C=C(Cl)CSCc1nc(N)nc(N)n1,0,0,True,False,False,False,False,False,True
ZINC18544389,[O-]c1ccc2ncnc-2[nH]1,0,0,True,False,False,False,False,False,True
ZINC20278705,Nc1ccc[nH+]c1N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,0,0,True,False,False,False,False,False,True
ZINC17127936,NC/C(O)=N/C/C(O)=N/[C@H](Cc1c[nH]c[nH+]1)C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC42887577,Nc1nc2c(c(N3CC[NH2+]CC3)[nH+]1)CCC1=C2[C@@H]2CCCC[C@@H]2O1,0,0,True,False,False,False,False,False,True
ZINC45070235,CC[C@@]1(C)C=NN=C1C,0,0,True,False,False,False,False,False,True
ZINC63846696,[NH2+]=C1N[C@H]2N=NC=C2C(NCCC(F)(F)F)=[NH+]1,0,0,True,False,False,False,False,False,True
ZINC64219316,CC(C)(C)CC(C)(C)OC(=O)[C@@H]1C[C@@H](O)C[NH2+]1,0,0,True,False,False,False,False,False,True
ZINC44143845,CS[C@]12CO[C@]3(OCCO)C[C@H]1C=C[C@@H]32,0,0,True,False,False,False,False,False,True
ZINC02562291,COC1=CCC2=C(C1)CC(OC)=CC2,0,0,True,False,False,False,False,False,True
ZINC72266298,CC#CO[C@@H]1CC2CCN1CC2,0,0,True,False,False,False,False,False,True
ZINC69922646,C[C@H]1C[NH+](CC/[NH+]=C(/N)NCC2CCC2)C[C@H](C)O1,0,0,True,False,False,False,False,False,True
ZINC33783235,CN(C(=S)[S-])[C@]1(C)CCS(=O)(=O)C1,0,0,True,False,False,False,False,False,True
ZINC89201638,C#Cc1ccc2[nH+]c(C)cn2c1,0,0,True,False,False,False,False,False,True
ZINC39248128,NC1=NN[C@@H](SCc2cc(=O)[nH][nH]2)S1,0,0,True,False,False,False,False,False,True
ZINC83253308,CC#C/C(C(=O)[O-])=C(C)\C=C/C[C@H](C)CCCC(C)C,0,0,True,False,False,False,False,False,True
ZINC95883671,FC(F)CNC[C@H]1CCC=CO1,0,0,True,False,False,False,False,False,True
ZINC97164334,C=C(Br)CN1C[C@@H](C)N(CC(=C)Br)[C@H](C)C1,0,0,True,False,False,False,False,False,True
ZINC71785682,C1C[C@H]2C[C@@H]([C@H]3C[C@H]4CC[C@H]5CC[C@H]3[C@H]54)[C@H]3CC[C@H]1[C@@H]23,0,0,True,False,False,False,False,False,True
ZINC02556339,COC(CCC[NH3+])OC,0,0,True,False,False,False,False,False,True
ZINC39189858,O/N=C1\CCCCC1=[N+]1CCOCC1,0,0,True,False,False,False,False,False,True
ZINC05940572,C#CCOC(=O)C=[N+]=[N-],0,0,True,False,False,False,False,False,True
ZINC95918013,FC(F)(F)SCCBr,0,0,True,False,False,False,False,False,True
ZINC72474780,COc1nccnc1N1CCCn2nc(C[NH+]3CCSCC3)cc2C1,0,0,True,False,False,False,False,False,True
ZINC04071820,Cc1nc(N)c(C[n+]2csc(CCO)c2C)c[n+]1C,0,0,True,False,False,False,False,False,True
ZINC95966046,CC[NH+](CC)CCSc1cc(-n2[nH+]c(C)cc2N)ncn1,0,0,True,False,False,False,False,False,True
ZINC67317218,NC(N)=N/N=C/c1ccc(/C=N/[NH+]=C(N)N)[nH]1,0,0,True,False,False,False,False,False,True
ZINC06668641,CC1(C)CC2(CC(C)(C)[NH2+]1)OC(=O)N(N)[C@@]2(C)O,0,0,True,False,False,False,False,False,True
ZINC88289140,Cc1sc(Br)cc1S(=O)(=O)/N=c1\cc[nH]cc1C,0,0,True,False,False,False,False,False,True
ZINC06078944,NC(=O)c1c(NC(=O)COc2ncnc3sccc23)sc2c1CCC2,0,0,True,False,False,False,False,False,True
ZINC02545756,CC[C@@](C)(O)c1nnn(-c2nonc2N)c1[C@](C)(O)CC,0,0,True,False,False,False,False,False,True
ZINC49952257,CNC(/C=[N+](\[O-])O)=[NH+]\N,0,0,True,False,False,False,False,False,True
ZINC09915841,CO[C@@]1(C)O[C@](C)(CO)C(C)(C)[C@@](C)(O)[C@@]1(C)O,0,0,True,False,False,False,False,False,True
ZINC89737801,CCC/C(N)=N/OCc1nsc(N(C)C)n1,0,0,True,False,False,False,False,False,True
ZINC04934779,C[C@H]1C[C@@H](NC(=O)N(CCCl)N=O)CC(C)(C)C1,0,0,True,False,False,False,False,False,True
ZINC77505184,[O-]c1nc(C(F)(F)C(F)(F)F)nc2c1CCNC2,0,0,True,False,False,False,False,False,True
ZINC67050486,CCn1c(CNC(=O)/C=C/c2cncc(F)c2)n[nH]c1=S,0,0,True,False,False,False,False,False,True
ZINC61992813,O=c1cccc2n1C[C@@H]1C[C@H]2CN(CC#CCO)C1,0,0,True,False,False,False,False,False,True
ZINC48355770,O=S(=O)([N-]Cc1cc[nH+]c(N2CCCCC2)c1)N1CCOCC1,0,0,True,False,False,False,False,False,True
ZINC72149709,Clc1ccc(-c2cccc3ccnn23)nn1,0,0,True,False,False,False,False,False,True
ZINC22172247,O=[N+]([O-])C1=C(O)N[C@]2(O)C[C@H]1[C@H]1CO[C@@H]2O1,0,0,True,False,False,False,False,False,True
ZINC86864159,O[C@]1(Cl)C=CC(F)=CC1,0,0,True,False,False,False,False,False,True
