mol_id,smiles,piperdine,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC20790412,CC(C)O/C=C/[C@H](C)[C@]1(C#N)C(N)=C(C=O)[C@@H](C)C1(C#N)C#N,0,0,True,False,False,False,False,False,True
ZINC11990822,O=C(c1cccs1)[C@H]1[C@H](c2cccs2)NC(=S)N[C@]1(O)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC84023617,COCc1cc(NCc2c(C)noc2C)nc(C(C)(C)C)[nH+]1,0,0,True,False,False,False,False,False,True
ZINC39442026,CCC(CC)[C@@H]1N=NC2=C1CN(/C([O-])=C/C1=N[C@@H]3SCC=[N+]3C1)CC2,0,0,True,False,False,False,False,False,True
ZINC95931642,N/N=C\SCCS(=O)(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC01668156,CC#CC#C/C=C1/C=CC(=O)O1,0,0,True,False,False,False,False,False,True
ZINC33886593,NC(=[NH2+])N1CCN(N=O)CC1,0,0,True,False,False,False,False,False,True
ZINC96072512,c1cncc(O[C@H]2CO[C@]3(CC[N@H+](Cc4ccco4)C3)C2)c1,0,0,True,False,False,False,False,False,True
ZINC72231187,Cc1cc[n-]/c(=N/C#N)c1,0,0,True,False,False,False,False,False,True
ZINC11757584,[O-]c1c(Cl)cncc1Cl,0,0,True,False,False,False,False,False,True
ZINC52634793,Nc1ccc(N2C[C@H]3C[C@@H]2C[NH2+]3)c[nH+]1,0,0,True,False,False,False,False,False,True
ZINC71910982,c1nc(SCc2cn3ccsc3n2)c2[nH]cnc2n1,0,0,True,False,False,False,False,False,True
ZINC57758444,CCCCNC(=S)NC[C@@H](C)NC(=S)NCCCC,0,0,True,False,False,False,False,False,True
ZINC04543480,CC1(C)O[C@H]2OC[C@@]3(COC(C)(C)O3)[C@H]2O1,0,0,True,False,False,False,False,False,True
ZINC96527884,N[C@]12C[C@](CCl)(COC1=O)C2,0,0,True,False,False,False,False,False,True
ZINC97231013,CCO[C@H]1C[C@H]([NH2+]C[C@]2(O)CCSC2)C1(C)C,0,0,True,False,False,False,False,False,True
ZINC75155761,NC1=C2CCCC2=N[C@H]2CCCC[C@H]12,0,0,True,False,False,False,False,False,True
ZINC39077699,C1CN2COC[N@H+](C1)C2,0,0,True,False,False,False,False,False,True
ZINC95093126,C1CC[C@]2(CC[NH2+]C2)OC1,0,0,True,False,False,False,False,False,True
ZINC90397636,[NH3+]Cc1ccc([C@@H](O)c2ccsc2)s1,0,0,True,False,False,False,False,False,True
ZINC89651597,C#CCn1cc(CN(C)Cn2nc(C)n(CCC)c2=S)cn1,0,0,True,False,False,False,False,False,True
ZINC95707494,[NH2+]=C1N=CC2=CC[N-]C2=N1,0,0,True,False,False,False,False,False,True
ZINC45236151,C1=[NH+]C=C2C[C@H]1C[C@H]1Cc3scnc3C=C21,0,0,True,False,False,False,False,False,True
ZINC03327354,Cc1c(C(=O)NN)sc2c1C(=O)NNS2(=O)=O,0,0,True,False,False,False,False,False,True
ZINC06373467,[NH2+]=C(CCO)NO,0,0,True,False,False,False,False,False,True
ZINC39120724,COCCN1CCN(C)CC1,0,0,True,False,False,False,False,False,True
ZINC62809734,FC(F)COC1C[NH2+]C1,0,0,True,False,False,False,False,False,True
ZINC04694201,NC(=S)N/N=C1/C[C@H](NNC(N)=S)[C@H]2CO[C@@H]1O2,0,0,True,False,False,False,False,False,True
ZINC02390337,C=C(C)C#C[C@H](O)C(C)C,0,0,True,False,False,False,False,False,True
ZINC44137466,Nc1nc(C(F)(F)F)c([C@H](O)C(F)(F)F)[nH]1,0,0,True,False,False,False,False,False,True
ZINC19898841,C1=CC[C@@H](/C=C/c2nn3c(-c4ccncc4)nnc3s2)CC1,0,0,True,False,False,False,False,False,True
ZINC77303314,C[S@@](=O)CCCC/C=N/O,0,0,True,False,False,False,False,False,True
ZINC20550809,C[NH+](C)[C@](C)(P(=O)([O-])[O-])[P@@](=O)([O-])O,0,0,True,False,False,False,False,False,True
ZINC39049311,O=C=C=C1C(F)=C1C#CF,0,0,True,False,False,False,False,False,True
ZINC83429736,Nc1ncnc2c1ncn2[C@H]1C=C[C@@H](CO[P@@](=O)([O-])OP=O)O1,0,0,True,False,False,False,False,False,True
ZINC71779063,C#CC(C)(C)Nc1nc(NC2CC2)nc(SC)n1,0,0,True,False,False,False,False,False,True
ZINC01530228,O=C1C=c2cc[nH]c2=CC1=O,0,0,True,False,False,False,False,False,True
ZINC43741804,CC1=C[C@@H](C)[C@@H]2CO[C@H](C3=CCC[N+](C)(C)C3)[C@H]1[C@H]2C,0,0,True,False,False,False,False,False,True
ZINC86012836,BrC1=CN2N=CN[C@@H]2C=C1,0,0,True,False,False,False,False,False,True
ZINC01646437,CC[N+]1(CC)CC[N+]2(CCC[C@@H](C)CC2)CC1,0,0,True,False,False,False,False,False,True
ZINC34987964,C=CCN1C(=O)/C(=C\C=C2\CCC[NH+]2C)SC1=S,0,0,True,False,False,False,False,False,True
ZINC35567165,CN(C)[C@@H]1COC[C@H]1[NH2+]C1CC1,0,0,True,False,False,False,False,False,True
ZINC59103317,N=C1C(=O)C(=O)[C@H]1NO,0,0,True,False,False,False,False,False,True
ZINC38577880,[O-]C1=NC(=S)N=C2S[C@@H]3CC4(CCCCC4)CCC3=C12,0,0,True,False,False,False,False,False,True
ZINC36390457,c1c[n+]2cn1CCCC[n+]1ccn(c1)CCCC2,0,0,True,False,False,False,False,False,True
ZINC68564967,C/C1=C/C=C/C2=CC=CC=C(/C=C/C=C(/C)C#CC#C1)C2,0,0,True,False,False,False,False,False,True
ZINC89893903,C#CCN(CC(=C)Cl)[C@@H]1CCS(=O)(=O)C1,0,0,True,False,False,False,False,False,True
ZINC95732011,CS(=O)(=O)/N=c1/cc(I)c(OC2CC2)c[nH]1,0,0,True,False,False,False,False,False,True
ZINC98090706,CC(C)=CCC/C(C)=C\C/C=C\[C@](C)(O)CCC=C(C)C,0,0,True,False,False,False,False,False,True
ZINC90397534,C[C@@H]1C[C@@H]1NC(=O)CSCC(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC83291940,C[C@]12CC(=O)[C@@H]3[C@@H](CC[C@@H]4CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,0,0,True,False,False,False,False,False,True
ZINC66089446,Cc1nc(Cl)c2c(c1C)C(N)=NC2=N,0,0,True,False,False,False,False,False,True
ZINC96255166,O=C(c1ccno1)N1CCc2ncnc(-c3ccoc3)c2CC1,0,0,True,False,False,False,False,False,True
ZINC20414130,CCNC1=C2C(=N[NH+]=C2N)N(CC)C(=[NH2+])C1,0,0,True,False,False,False,False,False,True
ZINC39060399,C#CC1=CC[C@@H](O)[C@@]12O[C@H]2C#C,0,0,True,False,False,False,False,False,True
ZINC48999594,O=[N+]([O-])c1ccc(NCCc2cn3ccccc3[nH+]2)s1,0,0,True,False,False,False,False,False,True
ZINC05178930,O=[N+]([O-])OC[C@H](CO)O[N+](=O)[O-],0,0,True,False,False,False,False,False,True
ZINC04653855,CN(C)c1nc(OC/C(N)=N/O)nc(N(C)C)n1,0,0,True,False,False,False,False,False,True
ZINC19320485,CC1=[N+]([O-])[C@@]2(N)CCc3c(no[n+]3[O-])[C@@]2(O)C1,0,0,True,False,False,False,False,False,True
ZINC05298688,CCCOC[C@@H]1C[C@H](CC#CC[NH+]2CCOCC2)C(=O)O1,0,0,True,False,False,False,False,False,True
ZINC39817544,[NH3+]CCCC[C@@H](NC(=O)[C@@H](Cc1c[nH]c[nH+]1)NC(=O)C[NH3+])C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC39095176,N/[NH+]=C1/NC[C@H](CO)N1,0,0,True,False,False,False,False,False,True
ZINC39049689,C=CC#C[C@@]1(O)C=CCCC1,0,0,True,False,False,False,False,False,True
ZINC83261393,CC(=O)OC[C@H]1O[C@@]([O-])(Cl)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,0,0,True,False,False,False,False,False,True
ZINC85980975,CCCS(=O)(=O)CC[NH2+][C@@](C)(CCO)COC,0,0,True,False,False,False,False,False,True
ZINC02310540,CCCS[P@]1(=S)NCCCO1,0,0,True,False,False,False,False,False,True
ZINC01709926,CO[C@@H]1C(C)(C)C1(Br)Br,0,0,True,False,False,False,False,False,True
ZINC05964153,CC1=C(/C=C/C(C)=C/C=C/[C@H](C)CCO)C(C)(C)CCC1,0,0,True,False,False,False,False,False,True
ZINC24056845,N#C[C@@H]1NC[C@@H]2CCCC[C@@H]21,0,0,True,False,False,False,False,False,True
ZINC82029062,O=C[C@@H]1CC1(F)F,0,0,True,False,False,False,False,False,True
ZINC39073470,CC#CCn1ccnc1,0,0,True,False,False,False,False,False,True
ZINC19169388,CC(C)C[NH2+]N,0,0,True,False,False,False,False,False,True
ZINC32650360,Cc1nc(N2C[C@H](C)O[C@H](C)C2)c2c(n1)c(C)nn2C,0,0,True,False,False,False,False,False,True
ZINC39126750,CCN(C)c1oc2c(oc[n+]2[O-])c1N,0,0,True,False,False,False,False,False,True
ZINC56907289,Cc1cc(-c2nnc(NC(=O)C3=COCCO3)o2)c(C)o1,0,0,True,False,False,False,False,False,True
ZINC93091204,C[C@H](CC#N)N(C)CC(C)(C)CCC#N,0,0,True,False,False,False,False,False,True
ZINC49474276,C=CCSc1nc2nc([O-])cc(N)n2n1,0,0,True,False,False,False,False,False,True
ZINC04343049,N#Cc1c(N)nc2nonc2c1N,0,0,True,False,False,False,False,False,True
ZINC43763169,C=C[C@@H](C)[C@H](OCOC)[C@H]1O[C@H]1[C@H](O)CO[C@@H]1CCCCO1,0,0,True,False,False,False,False,False,True
ZINC88784043,O=C1[C@@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C(=O)N1CCCNS(=O)(=O)CCCF,0,0,True,False,False,False,False,False,True
ZINC06382805,N=C([O-])C1=[NH+]C=N/C1=N/Nc1c(N)n[nH]c1N,0,0,True,False,False,False,False,False,True
ZINC39095561,C1=NO[C@@H]2C=NN3C[C@@H]3[C@@H]12,0,0,True,False,False,False,False,False,True
ZINC06413879,O[C@@]1(C(F)F)CC(C(F)F)=NN1c1cc[nH]n1,0,0,True,False,False,False,False,False,True
ZINC02172959,CCSC#CSCC,0,0,True,False,False,False,False,False,True
ZINC37213711,Cc1ccc(-c2[nH]ncc2C[NH2+]CCC[NH+](C)C)o1,0,0,True,False,False,False,False,False,True
ZINC00386976,Cc1cc2scc(C)[n+]2cc1C,0,0,True,False,False,False,False,False,True
ZINC96299251,NN[C@]12C[C@](C(F)(F)F)(C1)C2,0,0,True,False,False,False,False,False,True
ZINC77320632,Cc1nccn1-c1ccc(-c2ccnc3c2ccn3C)nn1,0,0,True,False,False,False,False,False,True
ZINC72429665,O=C(CCc1cc2n(n1)CCC[NH2+]C2)N1CC=C[C@@H]1CO,0,0,True,False,False,False,False,False,True
ZINC58430426,Cc1[nH+]n(C)c(N(C)C)c1CNC[C@@H](C)[N@@H+]1CCc2sccc2C1,0,0,True,False,False,False,False,False,True
ZINC67725688,CC(C)Cc1cc(-c2nc3c([nH]2)c(C(C)C)nn3C)n[nH]1,0,0,True,False,False,False,False,False,True
ZINC39078225,C1=CN2COCC2=CN=C1,0,0,True,False,False,False,False,False,True
ZINC05355614,COC(CN=[N+]=[N-])OC,0,0,True,False,False,False,False,False,True
ZINC63148429,F[C@H](Cl)C(F)(Cl)Cl,0,0,True,False,False,False,False,False,True
ZINC79035733,CC(C)(C)OC(=O)N1CCC[C@]12CCCCNC2=O,0,0,True,False,False,False,False,False,True
ZINC13654254,CC1(C)C[C@H]2C[C@](C)(C[N@H+]2CC#C[C@@]2(C)CCCC(C)(C)O2)C1,0,0,True,False,False,False,False,False,True
ZINC95441999,FC(F)C(F)(F)CN1CCN(C[C@H]2C[NH+]=C(N3CCOCC3)S2)CC1,0,0,True,False,False,False,False,False,True
ZINC63908906,CCN(CC1=NC(=O)[C@H]2SC=CC2=N1)C[C@@H]1CC=C(Cl)S1,0,0,True,False,False,False,False,False,True
ZINC85470512,C/C=C/C(=O)NCC#CCN(C)C,0,0,True,False,False,False,False,False,True
ZINC89603331,CCCc1nc(CSCC2(CO)COC2)no1,0,0,True,False,False,False,False,False,True
ZINC08964480,NC(=O)N/N=C/C(=N\NC(N)=O)[C@@H](O)[C@@H](O)[C@@H](O)CO,0,0,True,False,False,False,False,False,True
ZINC40687585,Nc1c(Nc2cc[nH+]cc2)nc[nH+]c1Nc1ccc(Cl)cn1,0,0,True,False,False,False,False,False,True
ZINC17108957,CCOC(=O)/C(C#N)=C\C=C1/C=CC=CN1C,0,0,True,False,False,False,False,False,True
ZINC84618662,c1ncn(CCN2CCC[C@H]2c2noc(C3CC3)n2)n1,0,0,True,False,False,False,False,False,True
ZINC20904802,CC[C@H](C)Sc1nnc(/N=C(\[O-])CSc2nnc(COC)n2N)s1,0,0,True,False,False,False,False,False,True
ZINC95922386,N#CC#CC(C[O-])=[N+]1CCCC1,0,0,True,False,False,False,False,False,True
ZINC72188022,FC(F)(F)c1ccc(Br)o1,0,0,True,False,False,False,False,False,True
ZINC72190337,[N-]=[N+]=Nc1nc2c(n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)[NH+]=CN[C@@H]2N,0,0,True,False,False,False,False,False,True
ZINC20615653,O=C1OC(c2cncc(Br)c2)=N/C1=C\c1cc(Br)cs1,0,0,True,False,False,False,False,False,True
ZINC96330722,O=C([O-])[C@@H]1[NH2+]C[C@H]2C(O)=NO[C@H]21,0,0,True,False,False,False,False,False,True
ZINC34933681,NCC[N@H+]1C[C@H]2C=C[C@@H]1C2,0,0,True,False,False,False,False,False,True
ZINC73966566,Cc1nnc([C@H](C)Sc2ncnc3[n-]cnc23)o1,0,0,True,False,False,False,False,False,True
ZINC49004104,Cc1ccc(S(=O)(=O)/N=C(\[O-])C=C2CCCCC2)s1,0,0,True,False,False,False,False,False,True
ZINC19204891,C=CCO/N=C(\CCC)C1=C(NC)CC(C)(C)[C@H](C(=O)OC)C1=O,0,0,True,False,False,False,False,False,True
ZINC72422165,Cc1nnnn1CCCN1CC[N@@H+](C2CCCC2)[C@H](CCO)C1,0,0,True,False,False,False,False,False,True
ZINC08783485,CCCCc1[nH]nc2c1[C@@]1(CC[C@H]3CO[C@@H]1O3)C(C#N)=C(N)O2,0,0,True,False,False,False,False,False,True
ZINC19366693,[NH3+]CC[NH2+][C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,0,0,True,False,False,False,False,False,True
ZINC45236662,N[C@@H]1OC2=CC3=C(CC=CC3)C[C@H]2O1,0,0,True,False,False,False,False,False,True
ZINC31911435,CC[C@@H]([NH3+])c1c[nH+]c2ccc(C)cn12,0,0,True,False,False,False,False,False,True
ZINC90627761,C#CCCCCCCCCCBr,0,0,True,False,False,False,False,False,True
ZINC01721963,CO[C@@H](C)[C@H]1[C@H]([N+](C)(C)C)CS1(=O)=O,0,0,True,False,False,False,False,False,True
ZINC96132378,FC(F)(F)Cn1nc(CC2CC2)nc1-c1cn2cccnc2n1,0,0,True,False,False,False,False,False,True
ZINC12971189,c1c[nH]c(Cc2[nH]cc(Cc3c[nH]cn3)[nH+]2)n1,0,0,True,False,False,False,False,False,True
ZINC67713654,Cc1nc(CNc2nc(N)nc3c2CC[NH2+]C3)nc2c1CCCC2,0,0,True,False,False,False,False,False,True
ZINC95831335,C#Cc1ncc(F)c(OC)n1,0,0,True,False,False,False,False,False,True
ZINC38236956,C[C@@]1(O)[C@H]2O[C@@]3(O)O[C@@H]1[C@@H]1[C@@H](O)NC(=[NH2+])N[C@]1([C@@H]2O)[C@@H]3O,0,0,True,False,False,False,False,False,True
ZINC01763056,CC(C)(C)C1=CC(=O)[C@](Cl)(C(C)(C)C)[C@H](Cl)C1=O,0,0,True,False,False,False,False,False,True
ZINC95766700,NCc1cc(N)cc(N)[nH+]1,0,0,True,False,False,False,False,False,True
ZINC98043878,N#CC1=CC=C[C@H](O)[C@H]1[O-],0,0,True,False,False,False,False,False,True
ZINC91551735,Cc1nc(-c2ncc(C(=O)N(C)CCC[C@H]3CCCO3)c([O-])n2)cs1,0,0,True,False,False,False,False,False,True
ZINC43794468,CC1=C(C)C(=O)OC(C)(C)O1,0,0,True,False,False,False,False,False,True
ZINC49952257,CNC(/C=[N+](\[O-])O)=[NH+]\N,0,0,True,False,False,False,False,False,True
ZINC45919719,C=CC[NH+](CC=C)C[C@@H](O)CN1CC[NH2+]CC1,0,0,True,False,False,False,False,False,True
ZINC79436926,C[N@@H+]1CC[C@H](CI)C1,0,0,True,False,False,False,False,False,True
ZINC85473466,NOC/C=C\Cl,0,0,True,False,False,False,False,False,True
ZINC01537048,CC#CC1(OC[C@H](COCC(C)C)[NH+]2CCCC2)CCCCC1,0,0,True,False,False,False,False,False,True
ZINC71282336,CC(C)n1ncc2c1N=C(O)C[C@H]2c1ccc(Br)s1,0,0,True,False,False,False,False,False,True
ZINC33517158,CC1(C)O[C@@](CC#N)(Sc2ncccn2)C(C)(C)S/C1=C/C#N,0,0,True,False,False,False,False,False,True
ZINC68604803,CCCN(CCN(CC#N)CCC[N@H+](C)CC[NH2+]C)C(N)=O,0,0,True,False,False,False,False,False,True
ZINC39049102,C=C[C@@H]1O[C@@H]1C#CC1CC1,0,0,True,False,False,False,False,False,True
ZINC39077974,[NH3+]CCN(C=O)CCO,0,0,True,False,False,False,False,False,True
ZINC72447083,Cc1cc(Cn2cc[nH+]c2-c2cc(C#CCO)cs2)c(C(F)(F)F)o1,0,0,True,False,False,False,False,False,True
ZINC19170183,C1CN[NH2+]C1,0,0,True,False,False,False,False,False,True
ZINC08616086,Cn1c(=[NH2+])[nH]c(=S)c2[nH]c[nH+]c21,0,0,True,False,False,False,False,False,True
ZINC71774640,Nc1[nH+]c2c(s1)[C@@H]([C@@H]1CCOC1)[NH2+]CC2,0,0,True,False,False,False,False,False,True
ZINC95923805,C[C@@H]1OC(=N)CC1=S,0,0,True,False,False,False,False,False,True
ZINC95347869,NC(=[NH2+])NC[C@@H]1COC2(CCOCC2)O1,0,0,True,False,False,False,False,False,True
ZINC05583165,Br[C@H]1CCCCC[C@@H]1[n+]1ccccc1,0,0,True,False,False,False,False,False,True
ZINC96347839,O=c1ccn([C@H]2CS[C@@H](CO)O2)c(=O)n1F,0,0,True,False,False,False,False,False,True
ZINC39058649,C#C[C@]([NH3+])(/C=C/[C@H](C)[NH3+])C(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC39335731,CC(=O)C1=C(C)C(C(=O)Cn2nc(C)c([N+](=O)[O-])c2C)=N[C@@H]1C,0,0,True,False,False,False,False,False,True
ZINC32828302,Nc1nccnc1/C(O)=[NH+]/CCNc1cnccn1,0,0,True,False,False,False,False,False,True
ZINC96206334,Cc1cncc(COC[C@@]23CCC[C@@H]2C[NH2+]C3)c1,0,0,True,False,False,False,False,False,True
ZINC95968334,CC(C)CC[C@@](C)(O)C[NH2+][C@H](C)c1cncc(F)c1,0,0,True,False,False,False,False,False,True
ZINC71786275,COC1(OC)[C@@H]2C=C[C@H]1[C@@](O)(C1=CC[C@@H]3CCC[C@H]13)C2,0,0,True,False,False,False,False,False,True
ZINC19169240,C[C@@H]1C[C@H](N[NH+](C)C)C(C#N)(C#N)[C@H](C)C1(C#N)C#N,0,0,True,False,False,False,False,False,True
ZINC97164334,C=C(Br)CN1C[C@@H](C)N(CC(=C)Br)[C@H](C)C1,0,0,True,False,False,False,False,False,True
ZINC97944219,CC/N=C(\[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC10931186,NS(=O)(=O)c1ccsc1C(=O)OCC(=O)c1ccc(Cl)s1,0,0,True,False,False,False,False,False,True
ZINC95375148,CCC[C@H](CNc1ncnc2nc(C)cc(C)c12)[NH+](C)C,0,0,True,False,False,False,False,False,True
ZINC82164580,CS(=O)(=O)CC1(CBr)CC1,0,0,True,False,False,False,False,False,True
ZINC03040375,CCCC[NH+](CCCC)COCC#CCOC,0,0,True,False,False,False,False,False,True
ZINC01736952,O=[P@]1(NC2CCCC2)OCC2(CO[P@](=O)(NC3CCCC3)OC2)CO1,0,0,True,False,False,False,False,False,True
ZINC59349845,CC(=O)C/N=C1/N=C([N-]c2cccc(C)n2)S1,0,0,True,False,False,False,False,False,True
ZINC65451520,Cn1cc[nH+]c1[C@@H](C1CC1)n1cnc2sc3c(c2c1=O)CCNC3,0,0,True,False,False,False,False,False,True
ZINC69250470,OCCCN(Cc1ccc(Cl)nc1)CC(F)(F)F,0,0,True,False,False,False,False,False,True
ZINC38783406,CSC1=N[C@H](N/C(C)=C(/CCO)C(=O)N2NC(SC)=N[C@H]2N)N=N1,0,0,True,False,False,False,False,False,True
ZINC02037900,ClC[C@H]1CO[C@H](C(Cl)(Cl)Cl)O1,0,0,True,False,False,False,False,False,True
ZINC39081588,C#CC#C/C=C\N1CCOCC1,0,0,True,False,False,False,False,False,True
ZINC39115792,C#Cc1[nH]c(C=O)c(CC)c1C,0,0,True,False,False,False,False,False,True
ZINC73666997,CC(C)Nc1nc(NN)nc(NC(C)C)[nH+]1,0,0,True,False,False,False,False,False,True
ZINC04945416,CC(=O)[C@H](C)Sc1sc2c([O-])cc(=O)[nH]c2c1C#N,0,0,True,False,False,False,False,False,True
ZINC59386138,CC1=COC=C(C)N1/[NH+]=C(\N)[S-],0,0,True,False,False,False,False,False,True
ZINC95494855,C[N+](C)=CCN,0,0,True,False,False,False,False,False,True
ZINC05945280,N#CC1=C(N)OC2=C(C(=O)OC2)[C@H]1c1ccc([N+](=O)[O-])o1,0,0,True,False,False,False,False,False,True
ZINC05631116,S=c1[nH]nc2n1-c1sc3c(c1-c1nnc([S-])n1-2)CCC3,0,0,True,False,False,False,False,False,True
ZINC91692316,OCCC#CCN1CCSCC1,0,0,True,False,False,False,False,False,True
ZINC39067100,CC(=O)C1=C(N)CC1,0,0,True,False,False,False,False,False,True
ZINC90598187,[NH3+][C@@H]1C[C@@]23C=CC=C[C@@]12C=C3,0,0,True,False,False,False,False,False,True
ZINC95444345,C[NH+](C)C(C)(C)CN[C@H]1[C@@H]2CCO[C@@H]2C12CCC2,0,0,True,False,False,False,False,False,True
ZINC02837242,CC[NH+](CC)CC/[NH+]=C/C1C(=O)NC(=O)NC1=O,0,0,True,False,False,False,False,False,True
ZINC39089281,OCC#CCOC1=NOCC1,0,0,True,False,False,False,False,False,True
ZINC04016857,Cn1nc(C#CC(C)(C)O)c(C#CC(C)(C)O)c1C#CC(C)(C)O,0,0,True,False,False,False,False,False,True
ZINC95980152,Cc1n[nH]c(C)c1[C@H]1COCCN1S(=O)(=O)N1CCCCCC1,0,0,True,False,False,False,False,False,True
ZINC00032940,CC1=CC=CN2C1=NC(C(F)(F)F)(C(F)(F)F)N=C2c1ccco1,0,0,True,False,False,False,False,False,True
ZINC06062900,O=C1C=C(Nc2nnc[n-]2)CCC1,0,0,True,False,False,False,False,False,True
ZINC03953290,Oc1ccc(I)nc1I,0,0,True,False,False,False,False,False,True
ZINC02036327,O[C@H](CF)CCl,0,0,True,False,False,False,False,False,True
ZINC39077781,[NH2+]=CN1CC[C@@H](S)C1,0,0,True,False,False,False,False,False,True
ZINC91536472,CC1(C)CN(c2cc3nncn3c(N)n2)C[C@@]1(C)O,0,0,True,False,False,False,False,False,True
ZINC39089363,CC(C)O[C@@H]1C=C[C@@H](N)CO1,0,0,True,False,False,False,False,False,True
ZINC72432489,C=CCC[C@H](CN(C)CCOC)Oc1cc(-n2cccn2)nc(C)n1,0,0,True,False,False,False,False,False,True
ZINC45069840,O=C1N[C@@H]2[C@@H]3C=C[C@@H]4[C@@H]([C@@H]4C=C3)[C@@H]12,0,0,True,False,False,False,False,False,True
